date,time,players
09-20,01:00:00,47327
09-20,02:00:00,48361
09-20,03:00:00,47737
09-20,04:00:00,43417
09-20,05:00:00,37192
09-20,06:00:00,31140
09-20,07:00:00,26328
09-20,08:00:00,24093
09-20,09:00:00,24767
09-20,10:00:00,26598
09-20,11:00:00,29925
09-20,12:00:00,34217
09-20,13:00:00,38519
09-20,14:00:00,41886
09-20,15:00:00,43464
09-20,16:00:00,45565
09-20,17:00:00,48996
09-20,18:00:00,52075
09-20,19:00:00,55004
09-20,20:00:00,55460
09-20,21:00:00,54581
09-20,22:00:00,51239
09-20,23:00:00,47492
09-21,00:00:00,45326
09-21,01:00:00,46461
09-21,02:00:00,47054
09-21,03:00:00,46748
09-21,04:00:00,43542
09-21,05:00:00,38063
09-21,06:00:00,32458
09-21,07:00:00,28123
09-21,08:00:00,26050
09-21,09:00:00,27337
09-21,10:00:00,28901
09-21,11:00:00,32726
09-21,12:00:00,38044
09-21,13:00:00,43619
09-21,14:00:00,47211
09-21,15:00:00,49359
09-21,16:00:00,52664
09-21,17:00:00,56604
09-21,18:00:00,60053
09-21,19:00:00,60325
09-21,20:00:00,58370
09-21,21:00:00,53091
09-21,22:00:00,49336
09-21,23:00:00,47633
09-22,00:00:00,47667
09-22,01:00:00,47256
09-22,02:00:00,44511
09-22,03:00:00,38806
09-22,04:00:00,31940
09-22,05:00:00,26011
09-22,06:00:00,20666
09-22,07:00:00,17541
09-22,08:00:00,16427
09-22,09:00:00,16979
09-22,10:00:00,18981
09-22,11:00:00,21963
09-22,12:00:00,25727
09-22,13:00:00,29770
09-22,14:00:00,32002
09-22,15:00:00,34604
09-22,16:00:00,38410
09-22,17:00:00,42109
09-22,18:00:00,44945
09-22,19:00:00,45152
09-22,20:00:00,44311
09-22,21:00:00,41151
09-22,22:00:00,41056
09-22,23:00:00,43492
09-23,00:00:00,45140
09-23,01:00:00,45217
09-23,02:00:00,43925
09-23,03:00:00,38968
09-23,04:00:00,32265
09-23,05:00:00,26424
09-23,06:00:00,21016
09-23,07:00:00,17833
09-23,08:00:00,16519
09-23,09:00:00,17138
09-23,10:00:00,18861
09-23,11:00:00,21720
09-23,12:00:00,25689
09-23,13:00:00,29296
09-23,14:00:00,31713
09-23,15:00:00,34546
09-23,16:00:00,38099
09-23,17:00:00,41710
09-23,18:00:00,44919
09-23,19:00:00,45136
09-23,20:00:00,43862
09-23,21:00:00,40902
09-23,22:00:00,38191
09-23,23:00:00,41895
09-24,00:00:00,44721
09-24,01:00:00,45078
09-24,02:00:00,44240
09-24,03:00:00,39670
09-24,04:00:00,32843
09-24,05:00:00,26285
09-24,06:00:00,21196
09-24,07:00:00,17738
09-24,08:00:00,16689
09-24,09:00:00,17269
09-24,10:00:00,18927
09-24,11:00:00,22083
09-24,12:00:00,26217
09-24,13:00:00,29947
09-24,14:00:00,32367
09-24,15:00:00,34509
09-24,16:00:00,37541
09-24,17:00:00,41108
09-24,18:00:00,44243
09-24,19:00:00,44295
09-24,20:00:00,43690
09-24,21:00:00,41114
09-24,22:00:00,38953
09-24,23:00:00,41483
09-25,00:00:00,43281
09-25,01:00:00,43315
09-25,02:00:00,42473
09-25,03:00:00,38746
09-25,04:00:00,32262
09-25,05:00:00,26115
09-25,06:00:00,20342
09-25,07:00:00,17024
09-25,08:00:00,16069
09-25,09:00:00,16786
09-25,10:00:00,18192
09-25,11:00:00,20926
09-25,12:00:00,24633
09-25,13:00:00,28439
09-25,14:00:00,30923
09-25,15:00:00,33185
09-25,16:00:00,36066
09-25,17:00:00,41054
09-25,18:00:00,44506
09-25,19:00:00,45032
09-25,20:00:00,44352
09-25,21:00:00,41765
09-25,22:00:00,40205
09-25,23:00:00,42381
09-26,00:00:00,44010
09-26,01:00:00,44166
09-26,02:00:00,43386
09-26,03:00:00,39788
09-26,04:00:00,34067
09-26,05:00:00,28010
09-26,06:00:00,22790
09-26,07:00:00,19189
09-26,08:00:00,17398
09-26,09:00:00,18172
09-26,10:00:00,19975
09-26,11:00:00,23512
09-26,12:00:00,27804
09-26,13:00:00,32259
09-26,14:00:00,34719
09-26,15:00:00,36931
09-26,16:00:00,39360
09-26,17:00:00,42295
09-26,18:00:00,45645
09-26,19:00:00,48572
09-26,20:00:00,48912
09-26,21:00:00,48434
09-26,22:00:00,45747
09-26,23:00:00,44333
09-27,00:00:00,45716
09-27,01:00:00,47953
09-27,02:00:00,48484
09-27,03:00:00,48348
09-27,04:00:00,43686
09-27,05:00:00,36870
09-27,06:00:00,30762
09-27,07:00:00,25972
09-27,08:00:00,23627
09-27,09:00:00,24649
09-27,10:00:00,26225
09-27,11:00:00,29681
09-27,12:00:00,33982
09-27,13:00:00,38735
09-27,14:00:00,41125
09-27,15:00:00,43212
09-27,16:00:00,46588
09-27,17:00:00,49995
09-27,18:00:00,53609
09-27,19:00:00,55972
09-27,20:00:00,56630
09-27,21:00:00,55656
09-27,22:00:00,52169
09-27,23:00:00,48152
09-28,00:00:00,46291
09-28,01:00:00,47647
09-28,02:00:00,48036
09-28,03:00:00,47543
09-28,04:00:00,43984
09-28,05:00:00,38413
09-28,06:00:00,32116
09-28,07:00:00,26903
09-28,08:00:00,24843
09-28,09:00:00,26287
09-28,10:00:00,28717
09-28,11:00:00,32744
09-28,12:00:00,38298
09-28,13:00:00,43674
09-28,14:00:00,47675
09-28,15:00:00,50492
09-28,16:00:00,53679
09-28,17:00:00,57623
09-28,18:00:00,61110
09-28,19:00:00,61729
09-28,20:00:00,60156
09-28,21:00:00,55166
09-28,22:00:00,51001
09-28,23:00:00,48551
09-29,00:00:00,48005
09-29,01:00:00,47300
09-29,02:00:00,45315
09-29,03:00:00,40144
09-29,04:00:00,32883
09-29,05:00:00,26710
09-29,06:00:00,21531
09-29,07:00:00,18159
09-29,08:00:00,16779
09-29,09:00:00,17683
09-29,10:00:00,18834
09-29,11:00:00,21885
09-29,12:00:00,25731
09-29,13:00:00,29460
09-29,14:00:00,31648
09-29,15:00:00,34518
09-29,16:00:00,38644
09-29,17:00:00,42111
09-29,18:00:00,45286
09-29,19:00:00,45900
09-29,20:00:00,45101
09-29,21:00:00,41239
09-29,22:00:00,39613
09-29,23:00:00,42028
09-30,00:00:00,44562
09-30,01:00:00,44671
09-30,02:00:00,43749
09-30,03:00:00,38733
09-30,04:00:00,32078
09-30,05:00:00,25735
09-30,06:00:00,20443
09-30,07:00:00,17160
09-30,08:00:00,15727
09-30,09:00:00,16386
09-30,10:00:00,17376
09-30,11:00:00,20335
09-30,12:00:00,23940
09-30,13:00:00,27379
09-30,14:00:00,30328
09-30,15:00:00,32674
09-30,16:00:00,36279
09-30,17:00:00,39948
09-30,18:00:00,43178
09-30,19:00:00,43141
09-30,20:00:00,42216
09-30,21:00:00,39692
09-30,22:00:00,38616
09-30,23:00:00,41970
10-01,00:00:00,44597
10-01,01:00:00,45016
10-01,02:00:00,43761
10-01,03:00:00,39558
10-01,04:00:00,32721
10-01,05:00:00,26522
10-01,06:00:00,21473
10-01,07:00:00,18323
10-01,08:00:00,17185
10-01,09:00:00,17342
10-01,10:00:00,18655
10-01,11:00:00,21702
10-01,12:00:00,25314
10-01,13:00:00,28809
10-01,14:00:00,31313
10-01,15:00:00,33743
10-01,16:00:00,34130
10-01,17:00:00,20547
10-01,18:00:00,27172
10-01,19:00:00,29456
10-01,20:00:00,29499
10-01,21:00:00,29241
10-01,22:00:00,29911
10-01,23:00:00,32409
10-02,00:00:00,35145
10-02,01:00:00,36308
10-02,02:00:00,36173
10-02,03:00:00,33871
10-02,04:00:00,29134
10-02,05:00:00,24621
10-02,06:00:00,20674
10-02,07:00:00,18251
10-02,08:00:00,17188
10-02,09:00:00,17579
10-02,10:00:00,18515
10-02,11:00:00,21031
10-02,12:00:00,23964
10-02,13:00:00,27698
10-02,14:00:00,31870
10-02,15:00:00,44905
10-02,16:00:00,73594
10-02,17:00:00,74698
10-02,18:00:00,72564
10-02,19:00:00,69697
10-02,20:00:00,66608
10-02,21:00:00,61863
10-02,22:00:00,57598
10-02,23:00:00,57199
10-03,00:00:00,58708
