date,time,players
09-20,01:00:00,43099
09-20,02:00:00,44951
09-20,03:00:00,44948
09-20,04:00:00,43578
09-20,05:00:00,41122
09-20,06:00:00,38675
09-20,07:00:00,37195
09-20,08:00:00,37980
09-20,09:00:00,38409
09-20,10:00:00,40924
09-20,11:00:00,47148
09-20,12:00:00,54410
09-20,13:00:00,60803
09-20,14:00:00,63699
09-20,15:00:00,63569
09-20,16:00:00,62196
09-20,17:00:00,60266
09-20,18:00:00,60490
09-20,19:00:00,61283
09-20,20:00:00,61290
09-20,21:00:00,58591
09-20,22:00:00,53469
09-20,23:00:00,46980
09-21,00:00:00,43365
09-21,01:00:00,43373
09-21,02:00:00,44987
09-21,03:00:00,44940
09-21,04:00:00,44280
09-21,05:00:00,43125
09-21,06:00:00,41285
09-21,07:00:00,40107
09-21,08:00:00,40366
09-21,09:00:00,41153
09-21,10:00:00,43594
09-21,11:00:00,49849
09-21,12:00:00,57649
09-21,13:00:00,63898
09-21,14:00:00,65192
09-21,15:00:00,64718
09-21,16:00:00,61859
09-21,17:00:00,61817
09-21,18:00:00,63531
09-21,19:00:00,63470
09-21,20:00:00,61219
09-21,21:00:00,55231
09-21,22:00:00,48106
09-21,23:00:00,43365
09-22,00:00:00,41559
09-22,01:00:00,41594
09-22,02:00:00,41138
09-22,03:00:00,38716
09-22,04:00:00,34531
09-22,05:00:00,31207
09-22,06:00:00,27355
09-22,07:00:00,24964
09-22,08:00:00,25857
09-22,09:00:00,27069
09-22,10:00:00,30471
09-22,11:00:00,37121
09-22,12:00:00,45297
09-22,13:00:00,51876
09-22,14:00:00,54075
09-22,15:00:00,53778
09-22,16:00:00,52640
09-22,17:00:00,53963
09-22,18:00:00,55641
09-22,19:00:00,55311
09-22,20:00:00,52959
09-22,21:00:00,46811
09-22,22:00:00,41621
09-22,23:00:00,38728
09-23,00:00:00,40580
09-23,01:00:00,41658
09-23,02:00:00,41404
09-23,03:00:00,39516
09-23,04:00:00,35908
09-23,05:00:00,32556
09-23,06:00:00,29244
09-23,07:00:00,27237
09-23,08:00:00,27381
09-23,09:00:00,28513
09-23,10:00:00,31909
09-23,11:00:00,38586
09-23,12:00:00,46637
09-23,13:00:00,53315
09-23,14:00:00,54676
09-23,15:00:00,53301
09-23,16:00:00,63360
09-23,17:00:00,77157
09-23,18:00:00,79394
09-23,19:00:00,79083
09-23,20:00:00,74565
09-23,21:00:00,66716
09-23,22:00:00,58465
09-23,23:00:00,53114
09-24,00:00:00,55018
09-24,01:00:00,55894
09-24,02:00:00,55670
09-24,03:00:00,52777
09-24,04:00:00,47609
09-24,05:00:00,43055
09-24,06:00:00,38021
09-24,07:00:00,34677
09-24,08:00:00,34253
09-24,09:00:00,35638
09-24,10:00:00,38803
09-24,11:00:00,46769
09-24,12:00:00,56683
09-24,13:00:00,65426
09-24,14:00:00,67797
09-24,15:00:00,67386
09-24,16:00:00,65045
09-24,17:00:00,65349
09-24,18:00:00,66414
09-24,19:00:00,66029
09-24,20:00:00,63225
09-24,21:00:00,56411
09-24,22:00:00,50142
09-24,23:00:00,46402
09-25,00:00:00,47396
09-25,01:00:00,48337
09-25,02:00:00,48167
09-25,03:00:00,46482
09-25,04:00:00,41753
09-25,05:00:00,36949
09-25,06:00:00,32268
09-25,07:00:00,29681
09-25,08:00:00,29909
09-25,09:00:00,31184
09-25,10:00:00,34893
09-25,11:00:00,42109
