date,time,players
09-20,01:00:00,35318
09-20,02:00:00,34625
09-20,03:00:00,34103
09-20,04:00:00,34973
09-20,05:00:00,40318
09-20,06:00:00,46256
09-20,07:00:00,53172
09-20,08:00:00,60153
09-20,09:00:00,66194
09-20,10:00:00,70547
09-20,11:00:00,75526
09-20,12:00:00,79715
09-20,13:00:00,83242
09-20,14:00:00,84935
09-20,15:00:00,85115
09-20,16:00:00,84262
09-20,17:00:00,82642
09-20,18:00:00,81616
09-20,19:00:00,79206
09-20,20:00:00,75071
09-20,21:00:00,68870
09-20,22:00:00,59269
09-20,23:00:00,49907
09-21,00:00:00,42404
09-21,01:00:00,38330
09-21,02:00:00,36904
09-21,03:00:00,36894
09-21,04:00:00,39183
09-21,05:00:00,42937
09-21,06:00:00,49051
09-21,07:00:00,57220
09-21,08:00:00,64803
09-21,09:00:00,71094
09-21,10:00:00,75997
09-21,11:00:00,81206
09-21,12:00:00,86189
09-21,13:00:00,89503
09-21,14:00:00,90277
09-21,15:00:00,89990
09-21,16:00:00,87475
09-21,17:00:00,85520
09-21,18:00:00,83940
09-21,19:00:00,79530
09-21,20:00:00,69930
09-21,21:00:00,58192
09-21,22:00:00,47904
09-21,23:00:00,40491
09-22,00:00:00,35315
09-22,01:00:00,32570
09-22,02:00:00,30748
09-22,03:00:00,28987
09-22,04:00:00,29534
09-22,05:00:00,31338
09-22,06:00:00,34424
09-22,07:00:00,38667
09-22,08:00:00,42983
09-22,09:00:00,47198
09-22,10:00:00,52002
09-22,11:00:00,58822
09-22,12:00:00,67007
09-22,13:00:00,73848
09-22,14:00:00,77495
09-22,15:00:00,78109
09-22,16:00:00,78063
09-22,17:00:00,77783
09-22,18:00:00,77597
09-22,19:00:00,73016
09-22,20:00:00,63528
09-22,21:00:00,51771
09-22,22:00:00,42786
09-22,23:00:00,36451
09-23,00:00:00,32986
09-23,01:00:00,31085
09-23,02:00:00,29917
09-23,03:00:00,28392
09-23,04:00:00,30103
09-23,05:00:00,31946
09-23,06:00:00,35420
09-23,07:00:00,38964
09-23,08:00:00,43782
09-23,09:00:00,48035
09-23,10:00:00,52747
09-23,11:00:00,59535
09-23,12:00:00,66892
09-23,13:00:00,73016
09-23,14:00:00,76584
09-23,15:00:00,76662
09-23,16:00:00,76920
09-23,17:00:00,77006
09-23,18:00:00,76503
09-23,19:00:00,72890
09-23,20:00:00,52977
09-23,21:00:00,41058
09-23,22:00:00,39402
09-23,23:00:00,35161
09-24,00:00:00,31999
09-24,01:00:00,30331
09-24,02:00:00,29186
09-24,03:00:00,28191
09-24,04:00:00,28771
09-24,05:00:00,31499
09-24,06:00:00,35177
09-24,07:00:00,39356
09-24,08:00:00,43789
09-24,09:00:00,47134
09-24,10:00:00,51640
09-24,11:00:00,58318
09-24,12:00:00,66101
09-24,13:00:00,72444
09-24,14:00:00,75346
09-24,15:00:00,76091
09-24,16:00:00,75997
09-24,17:00:00,75881
09-24,18:00:00,75361
09-24,19:00:00,71605
09-24,20:00:00,62338
09-24,21:00:00,51452
09-24,22:00:00,42663
09-24,23:00:00,34680
09-25,00:00:00,31467
09-25,01:00:00,29384
09-25,02:00:00,28080
09-25,03:00:00,27176
09-25,04:00:00,27326
09-25,05:00:00,29847
09-25,06:00:00,33147
09-25,07:00:00,37227
09-25,08:00:00,41439
09-25,09:00:00,44568
09-25,10:00:00,49158
09-25,11:00:00,55225
09-25,12:00:00,62337
09-25,13:00:00,68916
09-25,14:00:00,73069
09-25,15:00:00,74364
09-25,16:00:00,74547
09-25,17:00:00,74892
09-25,18:00:00,74332
09-25,19:00:00,70965
09-25,20:00:00,61972
09-25,21:00:00,51373
09-25,22:00:00,42545
09-25,23:00:00,36324
09-26,00:00:00,32082
09-26,01:00:00,29836
09-26,02:00:00,28493
09-26,03:00:00,27400
09-26,04:00:00,28761
09-26,05:00:00,31276
09-26,06:00:00,34384
09-26,07:00:00,38230
09-26,08:00:00,42620
09-26,09:00:00,47075
09-26,10:00:00,51869
09-26,11:00:00,59402
09-26,12:00:00,67370
09-26,13:00:00,73777
09-26,14:00:00,77235
09-26,15:00:00,77841
09-26,16:00:00,77801
09-26,17:00:00,77296
09-26,18:00:00,76982
09-26,19:00:00,75673
09-26,20:00:00,69312
09-26,21:00:00,61522
09-26,22:00:00,52243
09-26,23:00:00,43811
09-27,00:00:00,37419
09-27,01:00:00,34336
09-27,02:00:00,33361
09-27,03:00:00,33079
09-27,04:00:00,35016
09-27,05:00:00,38638
09-27,06:00:00,44227
09-27,07:00:00,51002
09-27,08:00:00,57970
09-27,09:00:00,63545
09-27,10:00:00,67684
09-27,11:00:00,72571
09-27,12:00:00,76899
09-27,13:00:00,80376
09-27,14:00:00,81717
09-27,15:00:00,81874
09-27,16:00:00,81284
09-27,17:00:00,80493
09-27,18:00:00,79608
09-27,19:00:00,77734
09-27,20:00:00,73681
09-27,21:00:00,66848
09-27,22:00:00,57633
09-27,23:00:00,48563
09-28,00:00:00,41289
09-28,01:00:00,36912
09-28,02:00:00,34619
09-28,03:00:00,33759
09-28,04:00:00,35418
09-28,05:00:00,38328
09-28,06:00:00,43816
09-28,07:00:00,50744
09-28,08:00:00,59168
09-28,09:00:00,66440
09-28,10:00:00,72374
09-28,11:00:00,78556
09-28,12:00:00,84130
09-28,13:00:00,87603
09-28,14:00:00,88775
09-28,15:00:00,88663
09-28,16:00:00,86719
09-28,17:00:00,84777
09-28,18:00:00,82718
09-28,19:00:00,78416
09-28,20:00:00,68440
09-28,21:00:00,56618
09-28,22:00:00,46175
09-28,23:00:00,39097
09-29,00:00:00,34262
09-29,01:00:00,31626
09-29,02:00:00,29739
09-29,03:00:00,27995
09-29,04:00:00,28356
09-29,05:00:00,30165
09-29,06:00:00,33131
09-29,07:00:00,36906
09-29,08:00:00,40762
09-29,09:00:00,44429
09-29,10:00:00,48695
09-29,11:00:00,55415
09-29,12:00:00,63547
09-29,13:00:00,70437
09-29,14:00:00,73983
09-29,15:00:00,75572
09-29,16:00:00,75765
09-29,17:00:00,75721
09-29,18:00:00,74408
09-29,19:00:00,70803
09-29,20:00:00,61990
09-29,21:00:00,50987
09-29,22:00:00,41691
09-29,23:00:00,35676
09-30,00:00:00,31870
09-30,01:00:00,29890
09-30,02:00:00,28609
09-30,03:00:00,27326
09-30,04:00:00,28213
09-30,05:00:00,30524
09-30,06:00:00,33638
09-30,07:00:00,36908
09-30,08:00:00,41214
09-30,09:00:00,45238
09-30,10:00:00,49929
09-30,11:00:00,56145
09-30,12:00:00,63329
09-30,13:00:00,69176
09-30,14:00:00,73139
09-30,15:00:00,75220
09-30,16:00:00,75680
09-30,17:00:00,75455
09-30,18:00:00,74614
09-30,19:00:00,70006
09-30,20:00:00,60619
09-30,21:00:00,49952
09-30,22:00:00,40918
09-30,23:00:00,35237
10-01,00:00:00,31556
10-01,01:00:00,30160
10-01,02:00:00,29575
10-01,03:00:00,28933
10-01,04:00:00,30294
10-01,05:00:00,33356
10-01,06:00:00,37142
10-01,07:00:00,41028
10-01,08:00:00,44184
10-01,09:00:00,47089
10-01,10:00:00,51688
10-01,11:00:00,57929
10-01,12:00:00,64988
10-01,13:00:00,70947
10-01,14:00:00,74257
10-01,15:00:00,75568
10-01,16:00:00,75835
10-01,17:00:00,75711
10-01,18:00:00,74169
10-01,19:00:00,69825
10-01,20:00:00,60552
10-01,21:00:00,49860
10-01,22:00:00,41510
10-01,23:00:00,35636
10-02,00:00:00,31983
10-02,01:00:00,30691
10-02,02:00:00,30262
10-02,03:00:00,29487
10-02,04:00:00,31048
10-02,05:00:00,34174
10-02,06:00:00,37938
10-02,07:00:00,41923
10-02,08:00:00,46036
10-02,09:00:00,49764
10-02,10:00:00,54017
10-02,11:00:00,59746
10-02,12:00:00,66373
10-02,13:00:00,72072
10-02,14:00:00,75778
10-02,15:00:00,77172
10-02,16:00:00,77172
10-02,17:00:00,77065
10-02,18:00:00,75947
10-02,19:00:00,71795
10-02,20:00:00,63556
10-02,21:00:00,53023
10-02,22:00:00,44001
10-02,23:00:00,37760
10-03,00:00:00,33403
10-03,01:00:00,31788
10-03,02:00:00,31311
10-03,03:00:00,30928
10-03,04:00:00,32486
10-03,05:00:00,35705
10-03,06:00:00,40179
10-03,07:00:00,44901
10-03,08:00:00,49824
10-03,09:00:00,54456
10-03,10:00:00,59586
10-03,11:00:00,65896
10-03,12:00:00,72051
10-03,13:00:00,76784
10-03,14:00:00,79367
10-03,15:00:00,79837
10-03,16:00:00,79627
10-03,17:00:00,79367
10-03,18:00:00,78047
10-03,19:00:00,75172
10-03,20:00:00,69083
10-03,21:00:00,60361
10-03,22:00:00,50789
10-03,23:00:00,43336
10-04,00:00:00,37275
10-04,01:00:00,34719
10-04,02:00:00,33773
10-04,03:00:00,34114
10-04,04:00:00,36071
10-04,05:00:00,40145
10-04,06:00:00,45806
10-04,07:00:00,53025
10-04,08:00:00,59702
10-04,09:00:00,64814
10-04,10:00:00,69470
10-04,11:00:00,74053
10-04,12:00:00,78304
10-04,13:00:00,82215
10-04,14:00:00,84642
10-04,15:00:00,84774
10-04,16:00:00,84701
10-04,17:00:00,83191
10-04,18:00:00,82208
10-04,19:00:00,79514
10-04,20:00:00,75271
10-04,21:00:00,68195
10-04,22:00:00,58996
10-04,23:00:00,49572
10-05,00:00:00,42016
10-05,01:00:00,37637
10-05,02:00:00,36060
10-05,03:00:00,35970
10-05,04:00:00,38067
10-05,05:00:00,41918
10-05,06:00:00,47729
10-05,07:00:00,55320
10-05,08:00:00,63339
10-05,09:00:00,69511
10-05,10:00:00,75777
10-05,11:00:00,81569
10-05,12:00:00,86579
10-05,13:00:00,89966
10-05,14:00:00,91615
10-05,15:00:00,91906
10-05,16:00:00,91523
10-05,17:00:00,89530
10-05,18:00:00,86753
10-05,19:00:00,81282
10-05,20:00:00,71000
10-05,21:00:00,58802
10-05,22:00:00,48443
10-05,23:00:00,41144
10-06,00:00:00,36125
10-06,01:00:00,33617
10-06,02:00:00,32748
10-06,03:00:00,31645
10-06,04:00:00,32503
10-06,05:00:00,35822
10-06,06:00:00,39815
10-06,07:00:00,43646
10-06,08:00:00,47077
10-06,09:00:00,50026
10-06,10:00:00,54220
10-06,11:00:00,60601
10-06,12:00:00,68222
10-06,13:00:00,74737
10-06,14:00:00,78653
10-06,15:00:00,80419
10-06,16:00:00,80667
10-06,17:00:00,80641
10-06,18:00:00,78994
10-06,19:00:00,74509
10-06,20:00:00,65189
10-06,21:00:00,53623
10-06,22:00:00,44054
10-06,23:00:00,37372
10-07,00:00:00,33217
10-07,01:00:00,31388
10-07,02:00:00,30451
10-07,03:00:00,29646
10-07,04:00:00,31171
10-07,05:00:00,33223
10-07,06:00:00,33971
10-07,07:00:00,41175
10-07,08:00:00,45479
10-07,09:00:00,49301
10-07,10:00:00,53614
10-07,11:00:00,59326
10-07,12:00:00,66560
10-07,13:00:00,72629
10-07,14:00:00,76584
10-07,15:00:00,78555
10-07,16:00:00,78492
10-07,17:00:00,75611
10-07,18:00:00,75609
10-07,19:00:00,72702
10-07,20:00:00,64026
10-07,21:00:00,52726
10-07,22:00:00,43244
10-07,23:00:00,36922
10-08,00:00:00,32992
10-08,01:00:00,31050
10-08,02:00:00,30427
10-08,03:00:00,29891
10-08,04:00:00,31103
10-08,05:00:00,34083
10-08,06:00:00,37865
10-08,07:00:00,41889
10-08,08:00:00,45608
10-08,09:00:00,48447
10-08,10:00:00,52933
10-08,11:00:00,59062
10-08,12:00:00,66480
10-08,13:00:00,72842
10-08,14:00:00,76107
10-08,15:00:00,76605
10-08,16:00:00,76685
10-08,17:00:00,76653
10-08,18:00:00,76006
10-08,19:00:00,71952
10-08,20:00:00,63389
10-08,21:00:00,52471
10-08,22:00:00,43382
10-08,23:00:00,36913
10-09,00:00:00,32582
10-09,01:00:00,30786
10-09,02:00:00,29385
10-09,03:00:00,28074
10-09,04:00:00,29887
10-09,05:00:00,31563
10-09,06:00:00,34787
10-09,07:00:00,38726
10-09,08:00:00,43150
10-09,09:00:00,47314
10-09,10:00:00,52389
10-09,11:00:00,58936
10-09,12:00:00,66162
10-09,13:00:00,72661
10-09,14:00:00,75551
10-09,15:00:00,76113
10-09,16:00:00,76135
10-09,17:00:00,76348
10-09,18:00:00,75884
10-09,19:00:00,71792
10-09,20:00:00,63287
10-09,21:00:00,52743
10-09,22:00:00,43837
10-09,23:00:00,37377
10-10,00:00:00,32970
10-10,01:00:00,30667
10-10,02:00:00,29575
10-10,03:00:00,28719
