date,time,players
09-20,01:00:00,105797
09-20,02:00:00,109994
09-20,03:00:00,110230
09-20,04:00:00,105080
09-20,05:00:00,93586
09-20,06:00:00,78521
09-20,07:00:00,63965
09-20,08:00:00,52167
09-20,09:00:00,45519
09-20,10:00:00,43901
09-20,11:00:00,46499
09-20,12:00:00,51737
09-20,13:00:00,58816
09-20,14:00:00,66927
09-20,15:00:00,72230
09-20,16:00:00,78002
09-20,17:00:00,84847
09-20,18:00:00,91066
09-20,19:00:00,95273
09-20,20:00:00,96479
09-20,21:00:00,96227
09-20,22:00:00,93493
09-20,23:00:00,89804
09-21,00:00:00,91898
09-21,01:00:00,97004
09-21,02:00:00,100374
09-21,03:00:00,100498
09-21,04:00:00,97638
09-21,05:00:00,88202
09-21,06:00:00,74975
09-21,07:00:00,61903
09-21,08:00:00,51544
09-21,09:00:00,45546
09-21,10:00:00,43586
09-21,11:00:00,45842
09-21,12:00:00,50704
09-21,13:00:00,58222
09-21,14:00:00,64889
09-21,15:00:00,70047
09-21,16:00:00,75777
09-21,17:00:00,83746
09-21,18:00:00,91403
09-21,19:00:00,95125
09-21,20:00:00,95056
09-21,21:00:00,94018
09-21,22:00:00,90982
09-21,23:00:00,91168
09-22,00:00:00,95107
09-22,01:00:00,96336
09-22,02:00:00,95555
09-22,03:00:00,89664
09-22,04:00:00,79524
09-22,05:00:00,65628
09-22,06:00:00,52506
09-22,07:00:00,42342
09-22,08:00:00,35239
09-22,09:00:00,31300
09-22,10:00:00,32179
09-22,11:00:00,34445
09-22,12:00:00,38632
09-22,13:00:00,43693
09-22,14:00:00,48747
09-22,15:00:00,53452
09-22,16:00:00,58840
09-22,17:00:00,64685
09-22,18:00:00,69295
09-22,19:00:00,72066
09-22,20:00:00,72409
09-22,21:00:00,73637
09-22,22:00:00,75959
09-22,23:00:00,81989
09-23,00:00:00,88774
09-23,01:00:00,93065
09-23,02:00:00,92819
09-23,03:00:00,87741
09-23,04:00:00,78489
09-23,05:00:00,65574
09-23,06:00:00,52376
09-23,07:00:00,41527
09-23,08:00:00,34884
09-23,09:00:00,31260
09-23,10:00:00,31436
09-23,11:00:00,33949
09-23,12:00:00,37933
09-23,13:00:00,43510
09-23,14:00:00,48589
09-23,15:00:00,53341
09-23,16:00:00,58317
09-23,17:00:00,63462
09-23,18:00:00,68121
09-23,19:00:00,70814
09-23,20:00:00,71052
09-23,21:00:00,70811
09-23,22:00:00,71616
09-23,23:00:00,79525
09-24,00:00:00,88194
09-24,01:00:00,91984
09-24,02:00:00,92022
09-24,03:00:00,87473
09-24,04:00:00,77863
09-24,05:00:00,64307
09-24,06:00:00,51240
09-24,07:00:00,40445
09-24,08:00:00,33304
09-24,09:00:00,30068
09-24,10:00:00,30150
09-24,11:00:00,32245
09-24,12:00:00,36804
09-24,13:00:00,41916
09-24,14:00:00,46474
09-24,15:00:00,50345
09-24,16:00:00,55197
09-24,17:00:00,60376
09-24,18:00:00,65326
09-24,19:00:00,68549
09-24,20:00:00,68788
09-24,21:00:00,68059
09-24,22:00:00,70632
09-24,23:00:00,76454
09-25,00:00:00,84489
09-25,01:00:00,88162
09-25,02:00:00,88055
09-25,03:00:00,84934
09-25,04:00:00,75222
09-25,05:00:00,62479
09-25,06:00:00,50192
09-25,07:00:00,39984
09-25,08:00:00,32884
09-25,09:00:00,29444
09-25,10:00:00,31979
09-25,11:00:00,34887
09-25,12:00:00,39164
09-25,13:00:00,44897
09-25,14:00:00,49689
09-25,15:00:00,53954
09-25,16:00:00,58389
09-25,17:00:00,63778
09-25,18:00:00,68580
09-25,19:00:00,72460
09-25,20:00:00,73458
09-25,21:00:00,73327
09-25,22:00:00,74878
09-25,23:00:00,80732
09-26,00:00:00,86782
09-26,01:00:00,91771
09-26,02:00:00,93030
09-26,03:00:00,91928
09-26,04:00:00,83714
09-26,05:00:00,70752
09-26,06:00:00,56991
09-26,07:00:00,45321
09-26,08:00:00,37094
09-26,09:00:00,33643
09-26,10:00:00,35054
09-26,11:00:00,38251
09-26,12:00:00,43102
09-26,13:00:00,49368
09-26,14:00:00,55167
09-26,15:00:00,60076
09-26,16:00:00,64273
09-26,17:00:00,68993
09-26,18:00:00,73802
09-26,19:00:00,78077
09-26,20:00:00,80885
09-26,21:00:00,80755
09-26,22:00:00,80840
09-26,23:00:00,82873
09-27,00:00:00,88466
09-27,01:00:00,95462
09-27,02:00:00,98809
09-27,03:00:00,99055
09-27,04:00:00,95484
09-27,05:00:00,85442
09-27,06:00:00,71159
09-27,07:00:00,57808
09-27,08:00:00,47307
09-27,09:00:00,41678
09-27,10:00:00,40801
09-27,11:00:00,43480
09-27,12:00:00,47994
09-27,13:00:00,54612
09-27,14:00:00,61114
09-27,15:00:00,66694
09-27,16:00:00,73066
09-27,17:00:00,78738
09-27,18:00:00,84179
09-27,19:00:00,88737
09-27,20:00:00,90124
09-27,21:00:00,89874
09-27,22:00:00,87072
09-27,23:00:00,83862
09-28,00:00:00,87114
09-28,01:00:00,91955
09-28,02:00:00,93999
09-28,03:00:00,94128
09-28,04:00:00,92082
