date,time,players
09-20,01:00:00,6585
09-20,02:00:00,6735
09-20,03:00:00,6706
09-20,04:00:00,6592
09-20,05:00:00,6127
09-20,06:00:00,5731
09-20,07:00:00,5390
09-20,08:00:00,5456
09-20,09:00:00,5593
09-20,10:00:00,5987
09-20,11:00:00,6391
09-20,12:00:00,7049
09-20,13:00:00,8048
09-20,14:00:00,9049
09-20,15:00:00,9824
09-20,16:00:00,10308
09-20,17:00:00,11305
09-20,18:00:00,12258
09-20,19:00:00,12768
09-20,20:00:00,13243
09-20,21:00:00,13220
09-20,22:00:00,12978
09-20,23:00:00,12553
09-21,00:00:00,12306
09-21,01:00:00,12094
09-21,02:00:00,12244
09-21,03:00:00,12214
09-21,04:00:00,12075
09-21,05:00:00,11735
09-21,06:00:00,11078
09-21,07:00:00,10537
09-21,08:00:00,10686
09-21,09:00:00,11058
09-21,10:00:00,11527
09-21,11:00:00,12317
09-21,12:00:00,13453
09-21,13:00:00,14764
09-21,14:00:00,16376
09-21,15:00:00,17519
09-21,16:00:00,18493
09-21,17:00:00,19639
09-21,18:00:00,20568
09-21,19:00:00,21047
09-21,20:00:00,21068
09-21,21:00:00,20896
09-21,22:00:00,19853
09-21,23:00:00,18779
09-22,00:00:00,17970
09-22,01:00:00,17401
09-22,02:00:00,17105
09-22,03:00:00,16575
09-22,04:00:00,14872
09-22,05:00:00,13195
09-22,06:00:00,11622
09-22,07:00:00,10614
09-22,08:00:00,10918
09-22,09:00:00,11594
09-22,10:00:00,12415
09-22,11:00:00,13500
09-22,12:00:00,14842
09-22,13:00:00,16359
09-22,14:00:00,17951
09-22,15:00:00,19531
09-22,16:00:00,20835
09-22,17:00:00,21981
09-22,18:00:00,23236
09-22,19:00:00,24136
09-22,20:00:00,24198
09-22,21:00:00,23924
09-22,22:00:00,23044
09-22,23:00:00,22471
09-23,00:00:00,22474
09-23,01:00:00,22728
09-23,02:00:00,22772
09-23,03:00:00,22038
09-23,04:00:00,19834
09-23,05:00:00,17263
09-23,06:00:00,15406
09-23,07:00:00,14300
09-23,08:00:00,14182
09-23,09:00:00,14783
09-23,10:00:00,15692
09-23,11:00:00,16852
09-23,12:00:00,18419
09-23,13:00:00,20261
09-23,14:00:00,22085
09-23,15:00:00,24272
09-23,16:00:00,25785
09-23,17:00:00,26797
09-23,18:00:00,28709
09-23,19:00:00,29544
09-23,20:00:00,29670
09-23,21:00:00,29338
09-23,22:00:00,28510
09-23,23:00:00,27686
09-24,00:00:00,27727
09-24,01:00:00,27953
09-24,02:00:00,27536
09-24,03:00:00,26296
09-24,04:00:00,24078
09-24,05:00:00,20924
09-24,06:00:00,17915
09-24,07:00:00,16278
09-24,08:00:00,16018
09-24,09:00:00,16895
09-24,10:00:00,17849
