date,time,players
09-20,01:00:00,49933
09-20,02:00:00,56510
09-20,03:00:00,58130
09-20,04:00:00,60367
09-20,05:00:00,63190
09-20,06:00:00,66073
09-20,07:00:00,69039
09-20,08:00:00,70978
09-20,09:00:00,70980
09-20,10:00:00,70429
09-20,11:00:00,81011
09-20,12:00:00,95571
09-20,13:00:00,108145
09-20,14:00:00,111370
09-20,15:00:00,109369
09-20,16:00:00,93632
09-20,17:00:00,76838
09-20,18:00:00,67252
09-20,19:00:00,62302
09-20,20:00:00,59570
09-20,21:00:00,56080
09-20,22:00:00,51076
09-20,23:00:00,46971
09-21,00:00:00,48637
09-21,01:00:00,54759
09-21,02:00:00,62039
09-21,03:00:00,64465
09-21,04:00:00,67429
09-21,05:00:00,71501
09-21,06:00:00,74718
09-21,07:00:00,77359
09-21,08:00:00,79017
09-21,09:00:00,78890
09-21,10:00:00,75615
09-21,11:00:00,85396
09-21,12:00:00,99264
09-21,13:00:00,110323
09-21,14:00:00,110889
09-21,15:00:00,105177
09-21,16:00:00,84571
09-21,17:00:00,70995
09-21,18:00:00,66166
09-21,19:00:00,64858
09-21,20:00:00,62494
09-21,21:00:00,57998
09-21,22:00:00,52739
09-21,23:00:00,48873
09-22,00:00:00,50157
09-22,01:00:00,50582
09-22,02:00:00,50642
09-22,03:00:00,50120
09-22,04:00:00,46778
09-22,05:00:00,46455
09-22,06:00:00,42327
09-22,07:00:00,42968
09-22,08:00:00,46518
09-22,09:00:00,48051
09-22,10:00:00,53846
09-22,11:00:00,66289
09-22,12:00:00,81503
09-22,13:00:00,93731
09-22,14:00:00,94791
09-22,15:00:00,88556
09-22,16:00:00,68261
09-22,17:00:00,55309
09-22,18:00:00,51140
09-22,19:00:00,49411
09-22,20:00:00,47008
09-22,21:00:00,43147
09-22,22:00:00,39370
09-22,23:00:00,40296
09-23,00:00:00,44884
09-23,01:00:00,47561
09-23,02:00:00,49400
09-23,03:00:00,49280
09-23,04:00:00,48235
09-23,05:00:00,48228
09-23,06:00:00,45886
09-23,07:00:00,48073
09-23,08:00:00,51818
09-23,09:00:00,52458
09-23,10:00:00,57469
09-23,11:00:00,70800
09-23,12:00:00,86929
09-23,13:00:00,98994
09-23,14:00:00,99227
09-23,15:00:00,91717
09-23,16:00:00,70192
09-23,17:00:00,56062
09-23,18:00:00,51024
09-23,19:00:00,48706
09-23,20:00:00,46164
09-23,21:00:00,42118
09-23,22:00:00,38348
09-23,23:00:00,38220
09-24,00:00:00,42656
09-24,01:00:00,46787
09-24,02:00:00,49463
09-24,03:00:00,49469
09-24,04:00:00,48526
09-24,05:00:00,48669
09-24,06:00:00,48388
09-24,07:00:00,50022
09-24,08:00:00,53149
09-24,09:00:00,53133
09-24,10:00:00,55540
09-24,11:00:00,67741
09-24,12:00:00,82236
09-24,13:00:00,94480
09-24,14:00:00,95219
09-24,15:00:00,89485
09-24,16:00:00,67716
09-24,17:00:00,53927
09-24,18:00:00,49033
09-24,19:00:00,47266
09-24,20:00:00,45069
09-24,21:00:00,41270
09-24,22:00:00,37517
09-24,23:00:00,37411
09-25,00:00:00,41282
09-25,01:00:00,44031
