date,time,players
09-20,01:00:00,60235
09-20,02:00:00,71150
09-20,03:00:00,75594
09-20,04:00:00,85153
09-20,05:00:00,98545
09-20,06:00:00,109230
09-20,07:00:00,115868
09-20,08:00:00,116039
09-20,09:00:00,113434
09-20,10:00:00,104254
09-20,11:00:00,128172
09-20,12:00:00,169697
09-20,13:00:00,195947
09-20,14:00:00,198218
09-20,15:00:00,190528
09-20,16:00:00,154682
09-20,17:00:00,120420
09-20,18:00:00,99317
09-20,19:00:00,83753
09-20,20:00:00,73401
09-20,21:00:00,65007
09-20,22:00:00,57594
09-20,23:00:00,51778
09-21,00:00:00,53214
09-21,01:00:00,62457
09-21,02:00:00,74234
09-21,03:00:00,80099
09-21,04:00:00,91721
09-21,05:00:00,109514
09-21,06:00:00,123501
09-21,07:00:00,129023
09-21,08:00:00,129823
09-21,09:00:00,125550
09-21,10:00:00,110773
09-21,11:00:00,140790
09-21,12:00:00,178108
09-21,13:00:00,200111
09-21,14:00:00,199935
09-21,15:00:00,172821
09-21,16:00:00,124485
09-21,17:00:00,96165
09-21,18:00:00,83678
09-21,19:00:00,75546
09-21,20:00:00,67876
09-21,21:00:00,55128
09-21,22:00:00,48373
09-21,23:00:00,43209
09-22,00:00:00,44286
09-22,01:00:00,47383
09-22,02:00:00,50739
09-22,03:00:00,50739
09-22,04:00:00,54378
09-22,05:00:00,54576
09-22,06:00:00,57280
09-22,07:00:00,62916
09-22,08:00:00,69064
09-22,09:00:00,69213
09-22,10:00:00,81347
09-22,11:00:00,115902
09-22,12:00:00,160733
09-22,13:00:00,187790
09-22,14:00:00,188047
09-22,15:00:00,168692
09-22,16:00:00,125006
09-22,17:00:00,95169
09-22,18:00:00,78717
09-22,19:00:00,69142
09-22,20:00:00,60417
09-22,21:00:00,52142
09-22,22:00:00,45627
09-22,23:00:00,43369
09-23,00:00:00,47324
09-23,01:00:00,53356
09-23,02:00:00,58394
09-23,03:00:00,60166
09-23,04:00:00,66782
09-23,05:00:00,70736
09-23,06:00:00,73300
09-23,07:00:00,77454
09-23,08:00:00,80868
09-23,09:00:00,80637
09-23,10:00:00,86376
09-23,11:00:00,121171
09-23,12:00:00,162622
09-23,13:00:00,183620
09-23,14:00:00,182953
09-23,15:00:00,156878
09-23,16:00:00,112326
09-23,17:00:00,86241
09-23,18:00:00,74699
09-23,19:00:00,66671
09-23,20:00:00,59594
09-23,21:00:00,51750
09-23,22:00:00,45132
09-23,23:00:00,37423
09-24,00:00:00,41050
09-24,01:00:00,46118
09-24,02:00:00,51073
09-24,03:00:00,51594
09-24,04:00:00,55745
09-24,05:00:00,60165
09-24,06:00:00,64831
09-24,07:00:00,71379
09-24,08:00:00,76513
09-24,09:00:00,76614
09-24,10:00:00,78339
09-24,11:00:00,111604
09-24,12:00:00,155783
09-24,13:00:00,179672
09-24,14:00:00,179457
09-24,15:00:00,154621
09-24,16:00:00,110135
09-24,17:00:00,83406
09-24,18:00:00,71784
09-24,19:00:00,64251
09-24,20:00:00,57328
09-24,21:00:00,50526
09-24,22:00:00,44311
09-24,23:00:00,40443
09-25,00:00:00,42721
09-25,01:00:00,46582
09-25,02:00:00,50202
09-25,03:00:00,50352
09-25,04:00:00,52395
09-25,05:00:00,53466
09-25,06:00:00,54989
09-25,07:00:00,59805
09-25,08:00:00,64301
09-25,09:00:00,64618
09-25,10:00:00,73485
09-25,11:00:00,100162
09-25,12:00:00,141761
09-25,13:00:00,165621
09-25,14:00:00,165810
09-25,15:00:00,147644
09-25,16:00:00,106216
09-25,17:00:00,79790
09-25,18:00:00,66326
09-25,19:00:00,59882
09-25,20:00:00,54370
09-25,21:00:00,47961
09-25,22:00:00,42205
09-25,23:00:00,39368
09-26,00:00:00,41725
09-26,01:00:00,45620
09-26,02:00:00,49124
09-26,03:00:00,49597
09-26,04:00:00,52595
09-26,05:00:00,53297
09-26,06:00:00,55137
09-26,07:00:00,59412
09-26,08:00:00,64216
09-26,09:00:00,64524
