date,time,players
09-20,01:00:00,52925
09-20,02:00:00,54468
09-20,03:00:00,54132
09-20,04:00:00,50892
09-20,05:00:00,46484
09-20,06:00:00,41770
09-20,07:00:00,38591
09-20,08:00:00,38953
09-20,09:00:00,40167
09-20,10:00:00,42525
09-20,11:00:00,47512
09-20,12:00:00,54438
09-20,13:00:00,61275
09-20,14:00:00,66184
09-20,15:00:00,67480
09-20,16:00:00,67353
09-20,17:00:00,68044
09-20,18:00:00,71691
09-20,19:00:00,74657
09-20,20:00:00,74666
09-20,21:00:00,73011
09-20,22:00:00,66828
09-20,23:00:00,60177
09-21,00:00:00,56700
09-21,01:00:00,58838
09-21,02:00:00,59334
09-21,03:00:00,59281
09-21,04:00:00,56682
09-21,05:00:00,51614
09-21,06:00:00,46991
09-21,07:00:00,44089
09-21,08:00:00,45106
09-21,09:00:00,47052
09-21,10:00:00,49047
09-21,11:00:00,54406
09-21,12:00:00,61632
09-21,13:00:00,69906
09-21,14:00:00,74714
09-21,15:00:00,75291
09-21,16:00:00,75134
09-21,17:00:00,77424
09-21,18:00:00,81977
09-21,19:00:00,83146
09-21,20:00:00,82342
09-21,21:00:00,75955
09-21,22:00:00,66698
09-21,23:00:00,60384
09-22,00:00:00,59229
09-22,01:00:00,59135
09-22,02:00:00,57221
09-22,03:00:00,51879
09-22,04:00:00,44175
09-22,05:00:00,36914
09-22,06:00:00,30627
09-22,07:00:00,27043
09-22,08:00:00,27020
09-22,09:00:00,28211
09-22,10:00:00,30631
09-22,11:00:00,35157
09-22,12:00:00,40541
09-22,13:00:00,46218
09-22,14:00:00,49310
09-22,15:00:00,49723
09-22,16:00:00,51466
09-22,17:00:00,55791
09-22,18:00:00,60976
09-22,19:00:00,62610
09-22,20:00:00,62150
09-22,21:00:00,56526
09-22,22:00:00,49073
09-22,23:00:00,47717
09-23,00:00:00,51000
09-23,01:00:00,52368
09-23,02:00:00,52029
09-23,03:00:00,48107
09-23,04:00:00,41758
09-23,05:00:00,35491
09-23,06:00:00,29921
09-23,07:00:00,27034
09-23,08:00:00,27127
09-23,09:00:00,28360
09-23,10:00:00,30821
09-23,11:00:00,35175
09-23,12:00:00,40476
09-23,13:00:00,45406
09-23,14:00:00,48463
09-23,15:00:00,48596
09-23,16:00:00,38077
09-23,17:00:00,40788
09-23,18:00:00,46112
09-23,19:00:00,48988
09-23,20:00:00,48741
09-23,21:00:00,45867
09-23,22:00:00,40334
09-23,23:00:00,38600
09-24,00:00:00,42139
09-24,01:00:00,44257
09-24,02:00:00,44167
09-24,03:00:00,41782
09-24,04:00:00,36694
09-24,05:00:00,31704
09-24,06:00:00,27459
09-24,07:00:00,24761
09-24,08:00:00,24583
09-24,09:00:00,25640
09-24,10:00:00,27311
09-24,11:00:00,30954
09-24,12:00:00,35788
09-24,13:00:00,40564
09-24,14:00:00,43665
09-24,15:00:00,44612
09-24,16:00:00,45802
09-24,17:00:00,48962
09-24,18:00:00,53725
09-24,19:00:00,55720
09-24,20:00:00,55460
09-24,21:00:00,51037
09-24,22:00:00,44346
09-24,23:00:00,42710
09-25,00:00:00,46317
09-25,01:00:00,47928
09-25,02:00:00,47593
09-25,03:00:00,44110
09-25,04:00:00,38509
09-25,05:00:00,32814
09-25,06:00:00,27581
09-25,07:00:00,24593
09-25,08:00:00,24370
09-25,09:00:00,25318
09-25,10:00:00,27004
09-25,11:00:00,30869
09-25,12:00:00,35815
09-25,13:00:00,40765
09-25,14:00:00,43804
09-25,15:00:00,44683
09-25,16:00:00,45597
09-25,17:00:00,48787
09-25,18:00:00,53424
09-25,19:00:00,55214
09-25,20:00:00,55070
09-25,21:00:00,50669
09-25,22:00:00,44569
09-25,23:00:00,41949
09-26,00:00:00,45124
09-26,01:00:00,46801
09-26,02:00:00,46772
09-26,03:00:00,44166
09-26,04:00:00,38979
09-26,05:00:00,33546
09-26,06:00:00,28525
09-26,07:00:00,25582
09-26,08:00:00,25122
09-26,09:00:00,26214
09-26,10:00:00,28141
09-26,11:00:00,32316
09-26,12:00:00,37726
09-26,13:00:00,43433
09-26,14:00:00,47173
09-26,15:00:00,48323
09-26,16:00:00,48882
09-26,17:00:00,50770
09-26,18:00:00,54535
09-26,19:00:00,57594
09-26,20:00:00,57661
09-26,21:00:00,56291
09-26,22:00:00,51687
09-26,23:00:00,47027
09-27,00:00:00,47832
09-27,01:00:00,51291
09-27,02:00:00,52491
09-27,03:00:00,52233
09-27,04:00:00,49325
09-27,05:00:00,44510
09-27,06:00:00,39711
09-27,07:00:00,36532
09-27,08:00:00,36828
09-27,09:00:00,37896
09-27,10:00:00,39928
09-27,11:00:00,44991
09-27,12:00:00,51386
09-27,13:00:00,57981
09-27,14:00:00,62156
09-27,15:00:00,62731
09-27,16:00:00,62643
09-27,17:00:00,64720
09-27,18:00:00,68610
09-27,19:00:00,71871
09-27,20:00:00,72220
09-27,21:00:00,70962
09-27,22:00:00,65242
09-27,23:00:00,58799
09-28,00:00:00,54940
09-28,01:00:00,56118
09-28,02:00:00,56355
09-28,03:00:00,56092
09-28,04:00:00,53061
09-28,05:00:00,48206
09-28,06:00:00,41796
09-28,07:00:00,38077
09-28,08:00:00,38510
09-28,09:00:00,40827
09-28,10:00:00,43947
09-28,11:00:00,49678
09-28,12:00:00,57041
09-28,13:00:00,64846
09-28,14:00:00,70148
09-28,15:00:00,71075
09-28,16:00:00,71382
09-28,17:00:00,73950
09-28,18:00:00,78276
09-28,19:00:00,79648
09-28,20:00:00,78911
09-28,21:00:00,73326
09-28,22:00:00,64827
09-28,23:00:00,58608
09-29,00:00:00,57534
09-29,01:00:00,57340
09-29,02:00:00,55681
09-29,03:00:00,50655
09-29,04:00:00,42970
09-29,05:00:00,36230
09-29,06:00:00,29981
09-29,07:00:00,26495
09-29,08:00:00,25204
09-29,09:00:00,26171
09-29,10:00:00,27850
09-29,11:00:00,31895
09-29,12:00:00,36820
09-29,13:00:00,41700
09-29,14:00:00,44841
09-29,15:00:00,45921
09-29,16:00:00,48158
09-29,17:00:00,52245
09-29,18:00:00,57582
09-29,19:00:00,59538
09-29,20:00:00,59337
09-29,21:00:00,54074
09-29,22:00:00,47122
09-29,23:00:00,45925
09-30,00:00:00,49594
09-30,01:00:00,50998
09-30,02:00:00,50812
09-30,03:00:00,46933
09-30,04:00:00,40690
09-30,05:00:00,34541
09-30,06:00:00,29080
09-30,07:00:00,25843
09-30,08:00:00,25067
09-30,09:00:00,26255
09-30,10:00:00,28270
09-30,11:00:00,32119
09-30,12:00:00,36896
09-30,13:00:00,41839
09-30,14:00:00,45671
09-30,15:00:00,47620
09-30,16:00:00,49409
09-30,17:00:00,53074
09-30,18:00:00,57901
09-30,19:00:00,59348
09-30,20:00:00,58717
09-30,21:00:00,53461
09-30,22:00:00,46644
09-30,23:00:00,45764
10-01,00:00:00,49817
10-01,01:00:00,51835
10-01,02:00:00,51754
10-01,03:00:00,49074
10-01,04:00:00,42765
10-01,05:00:00,36430
10-01,06:00:00,32004
10-01,07:00:00,29768
10-01,08:00:00,29347
