date,time,players
09-20,01:00:00,93340
09-20,02:00:00,94519
09-20,03:00:00,94564
09-20,04:00:00,92432
09-20,05:00:00,91429
09-20,06:00:00,90611
09-20,07:00:00,92615
09-20,08:00:00,93686
09-20,09:00:00,96234
09-20,10:00:00,105272
09-20,11:00:00,101904
09-20,12:00:00,100370
09-20,13:00:00,98039
09-20,14:00:00,90830
09-20,15:00:00,90875
09-20,16:00:00,89716
09-20,17:00:00,83853
09-20,18:00:00,71617
09-20,19:00:00,62785
09-20,20:00:00,48713
09-20,21:00:00,40906
09-20,22:00:00,37672
09-20,23:00:00,97678
09-21,00:00:00,104713
09-21,01:00:00,106512
09-21,02:00:00,106558
09-21,03:00:00,105699
09-21,04:00:00,100041
09-21,05:00:00,101726
09-21,06:00:00,103521
09-21,07:00:00,102798
09-21,08:00:00,103225
09-21,09:00:00,93415
09-21,10:00:00,102319
09-21,11:00:00,102883
09-21,12:00:00,96177
09-21,13:00:00,96566
09-21,14:00:00,96975
09-21,15:00:00,96666
09-21,16:00:00,96888
09-21,17:00:00,97194
09-21,18:00:00,96738
09-21,19:00:00,96955
09-21,20:00:00,97945
09-21,21:00:00,98130
09-21,22:00:00,98071
09-21,23:00:00,94793
09-22,00:00:00,95232
09-22,01:00:00,94899
09-22,02:00:00,93676
09-22,03:00:00,93189
09-22,04:00:00,92735
09-22,05:00:00,93735
09-22,06:00:00,93492
09-22,07:00:00,94502
09-22,08:00:00,94753
09-22,09:00:00,94777
09-22,10:00:00,94595
09-22,11:00:00,94203
09-22,12:00:00,95031
09-22,13:00:00,95207
09-22,14:00:00,95055
09-22,15:00:00,95460
09-22,16:00:00,97719
09-22,17:00:00,98458
09-22,18:00:00,98204
09-22,19:00:00,96701
09-22,20:00:00,95745
09-22,21:00:00,95831
09-22,22:00:00,95264
09-22,23:00:00,94018
09-23,00:00:00,93816
09-23,01:00:00,94343
09-23,02:00:00,93790
09-23,03:00:00,93835
09-23,04:00:00,93955
09-23,05:00:00,93576
09-23,06:00:00,93125
09-23,07:00:00,94094
09-23,08:00:00,95164
09-23,09:00:00,93277
09-23,10:00:00,91429
09-23,11:00:00,91865
09-23,12:00:00,105337
09-23,13:00:00,103497
09-23,14:00:00,100291
09-23,15:00:00,101023
09-23,16:00:00,93194
09-23,17:00:00,81398
09-23,18:00:00,69558
09-23,19:00:00,56492
09-23,20:00:00,95806
09-23,21:00:00,110268
09-23,22:00:00,111224
09-23,23:00:00,96784
09-24,00:00:00,102358
09-24,01:00:00,105248
09-24,02:00:00,107734
09-24,03:00:00,107761
09-24,04:00:00,103065
09-24,05:00:00,104030
09-24,06:00:00,104793
09-24,07:00:00,103930
09-24,08:00:00,102209
09-24,09:00:00,101260
09-24,10:00:00,101623
09-24,11:00:00,100371
09-24,12:00:00,94774
09-24,13:00:00,94360
09-24,14:00:00,94228
09-24,15:00:00,94674
09-24,16:00:00,95731
09-24,17:00:00,95492
09-24,18:00:00,94257
09-24,19:00:00,95822
09-24,20:00:00,96505
09-24,21:00:00,94897
09-24,22:00:00,93682
09-24,23:00:00,94998
09-25,00:00:00,95244
09-25,01:00:00,95397
09-25,02:00:00,94548
09-25,03:00:00,94411
09-25,04:00:00,92249
09-25,05:00:00,88387
09-25,06:00:00,81806
09-25,07:00:00,84337
09-25,08:00:00,84544
09-25,09:00:00,89088
09-25,10:00:00,89974
09-25,11:00:00,89590
09-25,12:00:00,90374
09-25,13:00:00,91236
09-25,14:00:00,91080
