date,time,players
09-20,01:00:00,75275
09-20,02:00:00,80213
09-20,03:00:00,82147
09-20,04:00:00,86713
09-20,05:00:00,91344
09-20,06:00:00,97443
09-20,07:00:00,103102
09-20,08:00:00,108028
09-20,09:00:00,112644
09-20,10:00:00,118026
09-20,11:00:00,122854
09-20,12:00:00,126522
09-20,13:00:00,128684
09-20,14:00:00,128539
09-20,15:00:00,124506
09-20,16:00:00,116792
09-20,17:00:00,108344
09-20,18:00:00,101695
09-20,19:00:00,95791
09-20,20:00:00,89124
09-20,21:00:00,82288
09-20,22:00:00,76277
09-20,23:00:00,72522
09-21,00:00:00,71998
09-21,01:00:00,75214
09-21,02:00:00,80223
09-21,03:00:00,82162
09-21,04:00:00,87627
09-21,05:00:00,92540
09-21,06:00:00,98529
09-21,07:00:00,106278
09-21,08:00:00,116363
09-21,09:00:00,121997
09-21,10:00:00,126740
09-21,11:00:00,131658
09-21,12:00:00,135361
09-21,13:00:00,136898
09-21,14:00:00,136820
09-21,15:00:00,133417
09-21,16:00:00,124200
09-21,17:00:00,113179
09-21,18:00:00,106951
09-21,19:00:00,99951
09-21,20:00:00,92216
09-21,21:00:00,84071
09-21,22:00:00,77617
09-21,23:00:00,73072
09-22,00:00:00,77240
09-22,01:00:00,87135
09-22,02:00:00,95451
09-22,03:00:00,95622
09-22,04:00:00,97522
09-22,05:00:00,100435
09-22,06:00:00,106606
09-22,07:00:00,111640
09-22,08:00:00,116910
09-22,09:00:00,117465
09-22,10:00:00,118389
09-22,11:00:00,124544
09-22,12:00:00,130926
09-22,13:00:00,134055
09-22,14:00:00,134944
09-22,15:00:00,132467
09-22,16:00:00,123945
09-22,17:00:00,113909
09-22,18:00:00,107680
09-22,19:00:00,101470
09-22,20:00:00,92211
09-22,21:00:00,83407
09-22,22:00:00,77277
09-22,23:00:00,74308
09-23,00:00:00,79329
09-23,01:00:00,86992
09-23,02:00:00,95256
09-23,03:00:00,95115
09-23,04:00:00,97153
09-23,05:00:00,100397
09-23,06:00:00,107369
09-23,07:00:00,112268
09-23,08:00:00,116530
09-23,09:00:00,119422
09-23,10:00:00,118424
09-23,11:00:00,123446
09-23,12:00:00,130086
09-23,13:00:00,135163
09-23,14:00:00,136235
09-23,15:00:00,130712
09-23,16:00:00,121334
09-23,17:00:00,111689
09-23,18:00:00,104628
09-23,19:00:00,97843
09-23,20:00:00,87498
09-23,21:00:00,80575
09-23,22:00:00,75746
09-23,23:00:00,68301
09-24,00:00:00,71375
09-24,01:00:00,80645
09-24,02:00:00,90285
09-24,03:00:00,92563
09-24,04:00:00,95725
09-24,05:00:00,101215
09-24,06:00:00,108193
09-24,07:00:00,113693
09-24,08:00:00,118601
09-24,09:00:00,119278
09-24,10:00:00,119649
09-24,11:00:00,126438
09-24,12:00:00,132368
09-24,13:00:00,135917
09-24,14:00:00,136132
09-24,15:00:00,127865
09-24,16:00:00,119963
09-24,17:00:00,109379
09-24,18:00:00,102151
09-24,19:00:00,95363
09-24,20:00:00,87694
09-24,21:00:00,79615
09-24,22:00:00,73584
09-24,23:00:00,68945
09-25,00:00:00,73633
09-25,01:00:00,85068
09-25,02:00:00,93005
09-25,03:00:00,93568
09-25,04:00:00,95629
09-25,05:00:00,98557
09-25,06:00:00,104497
09-25,07:00:00,109248
09-25,08:00:00,114170
09-25,09:00:00,114971
09-25,10:00:00,115185
09-25,11:00:00,121135
09-25,12:00:00,127468
09-25,13:00:00,130855
09-25,14:00:00,131696
09-25,15:00:00,128071
09-25,16:00:00,120216
09-25,17:00:00,109959
09-25,18:00:00,102920
09-25,19:00:00,97194
09-25,20:00:00,89613
09-25,21:00:00,81545
09-25,22:00:00,71223
09-25,23:00:00,69848
09-26,00:00:00,76096
09-26,01:00:00,85485
09-26,02:00:00,92415
09-26,03:00:00,92897
09-26,04:00:00,94726
09-26,05:00:00,97906
09-26,06:00:00,104600
09-26,07:00:00,109311
09-26,08:00:00,113327
09-26,09:00:00,114074
09-26,10:00:00,113989
09-26,11:00:00,118941
09-26,12:00:00,125066
09-26,13:00:00,127589
09-26,14:00:00,128647
09-26,15:00:00,127738
09-26,16:00:00,120681
09-26,17:00:00,112339
09-26,18:00:00,105424
09-26,19:00:00,98217
09-26,20:00:00,92048
09-26,21:00:00,85473
09-26,22:00:00,78492
09-26,23:00:00,74251
09-27,00:00:00,73685
09-27,01:00:00,76887
09-27,02:00:00,81067
09-27,03:00:00,79529
09-27,04:00:00,84408
09-27,05:00:00,89004
09-27,06:00:00,94074
09-27,07:00:00,99581
09-27,08:00:00,105572
09-27,09:00:00,109988
09-27,10:00:00,112455
09-27,11:00:00,119439
09-27,12:00:00,123048
09-27,13:00:00,125017
09-27,14:00:00,124909
09-27,15:00:00,123352
09-27,16:00:00,116021
09-27,17:00:00,106727
09-27,18:00:00,100598
09-27,19:00:00,95215
09-27,20:00:00,89176
09-27,21:00:00,83475
09-27,22:00:00,74251
09-27,23:00:00,68498
09-28,00:00:00,69066
09-28,01:00:00,78183
09-28,02:00:00,86113
09-28,03:00:00,85104
09-28,04:00:00,88746
09-28,05:00:00,92689
09-28,06:00:00,99684
09-28,07:00:00,107850
09-28,08:00:00,115122
09-28,09:00:00,118103
09-28,10:00:00,119289
09-28,11:00:00,122546
09-28,12:00:00,127383
09-28,13:00:00,130135
09-28,14:00:00,130042
09-28,15:00:00,127281
09-28,16:00:00,119072
09-28,17:00:00,109330
09-28,18:00:00,102805
09-28,19:00:00,95542
09-28,20:00:00,87558
09-28,21:00:00,79513
09-28,22:00:00,72642
09-28,23:00:00,67238
09-29,00:00:00,71293
09-29,01:00:00,80235
09-29,02:00:00,86885
09-29,03:00:00,87118
09-29,04:00:00,88411
09-29,05:00:00,91515
09-29,06:00:00,97672
09-29,07:00:00,102514
09-29,08:00:00,107019
09-29,09:00:00,108208
09-29,10:00:00,108326
09-29,11:00:00,112411
09-29,12:00:00,118632
09-29,13:00:00,123661
09-29,14:00:00,124407
09-29,15:00:00,122839
09-29,16:00:00,115440
09-29,17:00:00,107215
09-29,18:00:00,100503
09-29,19:00:00,93982
09-29,20:00:00,86218
09-29,21:00:00,78096
09-29,22:00:00,71571
09-29,23:00:00,67681
09-30,00:00:00,71649
09-30,01:00:00,79579
09-30,02:00:00,85761
09-30,03:00:00,83503
09-30,04:00:00,85647
09-30,05:00:00,88317
09-30,06:00:00,93404
09-30,07:00:00,96993
09-30,08:00:00,99079
09-30,09:00:00,100673
09-30,10:00:00,101358
09-30,11:00:00,106025
09-30,12:00:00,111804
09-30,13:00:00,115850
09-30,14:00:00,117759
09-30,15:00:00,117136
09-30,16:00:00,111806
09-30,17:00:00,104692
09-30,18:00:00,99003
