date,time,players
09-20,01:00:00,35675
09-20,02:00:00,33794
09-20,03:00:00,32089
09-20,04:00:00,30369
09-20,05:00:00,28656
09-20,06:00:00,28487
09-20,07:00:00,30264
09-20,08:00:00,32692
09-20,09:00:00,36055
09-20,10:00:00,39450
09-20,11:00:00,42680
09-20,12:00:00,46290
09-20,13:00:00,49881
09-20,14:00:00,53267
09-20,15:00:00,55929
09-20,16:00:00,58676
09-20,17:00:00,60861
09-20,18:00:00,62548
09-20,19:00:00,62636
09-20,20:00:00,62156
09-20,21:00:00,58706
09-20,22:00:00,53655
09-20,23:00:00,47482
09-21,00:00:00,42102
09-21,01:00:00,38335
09-21,02:00:00,36094
09-21,03:00:00,34068
09-21,04:00:00,32316
09-21,05:00:00,31038
09-21,06:00:00,31094
09-21,07:00:00,33835
09-21,08:00:00,37499
09-21,09:00:00,41639
09-21,10:00:00,45352
09-21,11:00:00,49416
09-21,12:00:00,53648
09-21,13:00:00,58225
09-21,14:00:00,61423
09-21,15:00:00,64188
09-21,16:00:00,66428
09-21,17:00:00,68007
09-21,18:00:00,68375
09-21,19:00:00,67429
09-21,20:00:00,62985
09-21,21:00:00,54881
09-21,22:00:00,47494
09-21,23:00:00,41898
09-22,00:00:00,37811
09-22,01:00:00,34946
09-22,02:00:00,31759
09-22,03:00:00,28078
09-22,04:00:00,25042
09-22,05:00:00,23029
09-22,06:00:00,22603
09-22,07:00:00,23764
09-22,08:00:00,25783
09-22,09:00:00,27951
09-22,10:00:00,30341
09-22,11:00:00,32997
09-22,12:00:00,36548
09-22,13:00:00,40662
09-22,14:00:00,44764
09-22,15:00:00,49538
09-22,16:00:00,54109
09-22,17:00:00,57105
09-22,18:00:00,58219
09-22,19:00:00,57559
09-22,20:00:00,53841
09-22,21:00:00,46908
09-22,22:00:00,41537
09-22,23:00:00,37510
09-23,00:00:00,35026
09-23,01:00:00,32851
09-23,02:00:00,30529
09-23,03:00:00,27382
09-23,04:00:00,24435
09-23,05:00:00,22296
09-23,06:00:00,22427
09-23,07:00:00,23836
09-23,08:00:00,25830
09-23,09:00:00,27882
09-23,10:00:00,30265
09-23,11:00:00,32929
09-23,12:00:00,36274
09-23,13:00:00,39949
09-23,14:00:00,44212
09-23,15:00:00,48794
09-23,16:00:00,53258
09-23,17:00:00,56703
09-23,18:00:00,57643
09-23,19:00:00,57072
09-23,20:00:00,53201
09-23,21:00:00,46218
09-23,22:00:00,40700
09-23,23:00:00,36123
09-24,00:00:00,34288
09-24,01:00:00,32725
09-24,02:00:00,30422
09-24,03:00:00,27362
09-24,04:00:00,24377
09-24,05:00:00,22226
09-24,06:00:00,22206
09-24,07:00:00,23633
09-24,08:00:00,25621
09-24,09:00:00,27837
09-24,10:00:00,29897
09-24,11:00:00,32597
09-24,12:00:00,35799
09-24,13:00:00,39568
09-24,14:00:00,43582
09-24,15:00:00,48221
