date,time,players
09-20,01:00:00,76508
09-20,02:00:00,101244
09-20,03:00:00,117949
09-20,04:00:00,137802
09-20,05:00:00,152709
09-20,06:00:00,162970
09-20,07:00:00,171833
09-20,08:00:00,175128
09-20,09:00:00,174634
09-20,10:00:00,167028
09-20,11:00:00,187894
09-20,12:00:00,216907
09-20,13:00:00,236779
09-20,14:00:00,238176
09-20,15:00:00,228324
09-20,16:00:00,188263
09-20,17:00:00,144378
09-20,18:00:00,112300
09-20,19:00:00,89811
09-20,20:00:00,74156
09-20,21:00:00,62392
09-20,22:00:00,54370
09-20,23:00:00,49616
09-21,00:00:00,58272
09-21,01:00:00,78469
09-21,02:00:00,105795
09-21,03:00:00,124159
09-21,04:00:00,145442
09-21,05:00:00,164232
09-21,06:00:00,176678
09-21,07:00:00,185014
09-21,08:00:00,186353
09-21,09:00:00,184465
09-21,10:00:00,171979
09-21,11:00:00,189854
09-21,12:00:00,218262
09-21,13:00:00,235333
09-21,14:00:00,235252
09-21,15:00:00,211357
09-21,16:00:00,154686
09-21,17:00:00,110484
09-21,18:00:00,86645
09-21,19:00:00,72591
09-21,20:00:00,62416
09-21,21:00:00,54190
09-21,22:00:00,48427
09-21,23:00:00,44052
09-22,00:00:00,48724
09-22,01:00:00,56471
09-22,02:00:00,69844
09-22,03:00:00,79222
09-22,04:00:00,101337
09-22,05:00:00,102003
09-22,06:00:00,94984
09-22,07:00:00,103300
09-22,08:00:00,117655
09-22,09:00:00,125225
09-22,10:00:00,138765
09-22,11:00:00,169389
09-22,12:00:00,202921
09-22,13:00:00,227865
09-22,14:00:00,228692
09-22,15:00:00,207731
09-22,16:00:00,149786
09-22,17:00:00,105162
09-22,18:00:00,81311
09-22,19:00:00,67142
09-22,20:00:00,57175
09-22,21:00:00,49341
09-22,22:00:00,43994
09-22,23:00:00,41618
09-23,00:00:00,47123
09-23,01:00:00,55586
09-23,02:00:00,67851
09-23,03:00:00,83278
09-23,04:00:00,108506
09-23,05:00:00,110052
09-23,06:00:00,110594
09-23,07:00:00,120528
09-23,08:00:00,134544
09-23,09:00:00,139461
09-23,10:00:00,151542
09-23,11:00:00,183448
09-23,12:00:00,217645
09-23,13:00:00,240064
09-23,14:00:00,240422
09-23,15:00:00,217743
09-23,16:00:00,160705
09-23,17:00:00,116241
09-23,18:00:00,90989
09-23,19:00:00,75652
09-23,20:00:00,64799
09-23,21:00:00,56918
09-23,22:00:00,50576
09-23,23:00:00,47016
09-24,00:00:00,53755
09-24,01:00:00,64614
09-24,02:00:00,80833
09-24,03:00:00,89521
09-24,04:00:00,110760
09-24,05:00:00,114090
09-24,06:00:00,117833
09-24,07:00:00,127224
09-24,08:00:00,138178
09-24,09:00:00,140169
09-24,10:00:00,145272
09-24,11:00:00,175825
09-24,12:00:00,208758
09-24,13:00:00,232966
09-24,14:00:00,233907
09-24,15:00:00,213271
09-24,16:00:00,155558
09-24,17:00:00,110532
09-24,18:00:00,86243
09-24,19:00:00,72080
09-24,20:00:00,62388
09-24,21:00:00,54610
09-24,22:00:00,48787
09-24,23:00:00,45232
09-25,00:00:00,49870
09-25,01:00:00,58269
09-25,02:00:00,71815
09-25,03:00:00,78903
09-25,04:00:00,99103
09-25,05:00:00,100608
09-25,06:00:00,97179
09-25,07:00:00,104650
09-25,08:00:00,117358
09-25,09:00:00,122104
09-25,10:00:00,132401
09-25,11:00:00,161400
09-25,12:00:00,196035
09-25,13:00:00,222210
09-25,14:00:00,223478
09-25,15:00:00,207519
09-25,16:00:00,156938
09-25,17:00:00,116295
09-25,18:00:00,89190
09-25,19:00:00,73573
09-25,20:00:00,62560
09-25,21:00:00,54022
09-25,22:00:00,48973
09-25,23:00:00,46101
09-26,00:00:00,53219
09-26,01:00:00,62847
09-26,02:00:00,79361
09-26,03:00:00,89161
09-26,04:00:00,113406
09-26,05:00:00,114931
09-26,06:00:00,109380
09-26,07:00:00,107676
09-26,08:00:00,130642
09-26,09:00:00,138165
09-26,10:00:00,151540
09-26,11:00:00,184005
09-26,12:00:00,219311
09-26,13:00:00,244184
09-26,14:00:00,247028
09-26,15:00:00,238275
09-26,16:00:00,193195
09-26,17:00:00,144039
09-26,18:00:00,110158
09-26,19:00:00,88008
09-26,20:00:00,73311
09-26,21:00:00,63326
09-26,22:00:00,55939
09-26,23:00:00,51725
09-27,00:00:00,61041
09-27,01:00:00,80166
09-27,02:00:00,104505
09-27,03:00:00,119532
09-27,04:00:00,138668
09-27,05:00:00,155363
09-27,06:00:00,166845
09-27,07:00:00,175008
09-27,08:00:00,178194
