date,time,players
09-20,01:00:00,455434
09-20,02:00:00,479434
09-20,03:00:00,489015
09-20,04:00:00,490607
09-20,05:00:00,515127
09-20,06:00:00,552183
09-20,07:00:00,588581
09-20,08:00:00,632133
09-20,09:00:00,679849
09-20,10:00:00,722302
09-20,11:00:00,781222
09-20,12:00:00,847212
09-20,13:00:00,902260
09-20,14:00:00,938429
09-20,15:00:00,937777
09-20,16:00:00,926847
09-20,17:00:00,891592
09-20,18:00:00,879796
09-20,19:00:00,855398
09-20,20:00:00,821292
09-20,21:00:00,760782
09-20,22:00:00,669335
09-20,23:00:00,574111
09-21,00:00:00,514796
09-21,01:00:00,488154
09-21,02:00:00,509518
09-21,03:00:00,519849
09-21,04:00:00,521026
09-21,05:00:00,564873
09-21,06:00:00,600585
09-21,07:00:00,658179
09-21,08:00:00,702872
09-21,09:00:00,739334
09-21,10:00:00,774824
09-21,11:00:00,834500
09-21,12:00:00,889978
09-21,13:00:00,950091
09-21,14:00:00,961289
09-21,15:00:00,947088
09-21,16:00:00,907824
09-21,17:00:00,867522
09-21,18:00:00,850800
09-21,19:00:00,802917
09-21,20:00:00,756795
09-21,21:00:00,648275
09-21,22:00:00,566997
09-21,23:00:00,486548
09-22,00:00:00,455614
09-22,01:00:00,441035
09-22,02:00:00,443666
09-22,03:00:00,443244
09-22,04:00:00,439295
09-22,05:00:00,442898
09-22,06:00:00,457251
09-22,07:00:00,480872
09-22,08:00:00,502467
09-22,09:00:00,526973
09-22,10:00:00,574040
09-22,11:00:00,655739
09-22,12:00:00,738560
09-22,13:00:00,819463
09-22,14:00:00,852307
09-22,15:00:00,854719
09-22,16:00:00,836556
09-22,17:00:00,812541
09-22,18:00:00,788877
09-22,19:00:00,755403
09-22,20:00:00,705716
09-22,21:00:00,609876
09-22,22:00:00,533799
09-22,23:00:00,455887
09-23,00:00:00,437260
09-23,01:00:00,435730
09-23,02:00:00,442826
09-23,03:00:00,439590
09-23,04:00:00,446540
09-23,05:00:00,448678
09-23,06:00:00,459487
09-23,07:00:00,485823
09-23,08:00:00,510435
09-23,09:00:00,542322
09-23,10:00:00,578480
09-23,11:00:00,656749
09-23,12:00:00,738843
09-23,13:00:00,808471
09-23,14:00:00,842420
09-23,15:00:00,839921
09-23,16:00:00,824762
09-23,17:00:00,799632
09-23,18:00:00,784233
09-23,19:00:00,751423
09-23,20:00:00,704918
09-23,21:00:00,602493
09-23,22:00:00,518822
09-23,23:00:00,345976
09-24,00:00:00,392486
09-24,01:00:00,421075
09-24,02:00:00,430562
09-24,03:00:00,429395
09-24,04:00:00,428953
09-24,05:00:00,429690
09-24,06:00:00,443216
