game_name,genre,release_date,price_usd
Apex Legends,0,2020-11-04,0
Baldur's Gate 3,0,2023-08-03,59.99
Banana,1,2024-04-23,0
Bongo Cat,1,2025-03-25,0
Call of Duty,0,2022-10-28,TBD,0
Counter-Strike2,0,2012-08-21,0
DayZ, 0,2018-12-13,49.99
Dead by Daylight,0,2016-06-14,19.99
Delta Force,0,2024-12-04,0
Dota 2,0,2013-07-09, 0
Grand Theft Auto 5 Legacy,0,2015-04-13,39.99
Hollow Knight Silksong,0,2025-09-04,19.99
Marvel Rivals,0,2024-12-06,0
Megabonk,0,2015-09-18,9.99
Naraka Bladepoint,0,2021-08-12,0
PUBG Battlegrounds,0,2017-12-21,0
Rust,0,2018-02-08,39.99
Stardew Valley,0,2016-02-26,14.99
Team Fortress 2,0,2007-10-10,0
Warframe,0,2013-03-25,0
