date,time,players
09-20,01:00:00,178786
09-20,02:00:00,191676
09-20,03:00:00,191988
09-20,04:00:00,186459
09-20,05:00:00,178778
09-20,06:00:00,169967
09-20,07:00:00,170245
09-20,08:00:00,180090
09-20,09:00:00,186781
09-20,10:00:00,193581
09-20,11:00:00,211117
09-20,12:00:00,235035
09-20,13:00:00,260270
09-20,14:00:00,277115
09-20,15:00:00,277366
09-20,16:00:00,268658
09-20,17:00:00,251642
09-20,18:00:00,240250
09-20,19:00:00,231434
09-20,20:00:00,224342
09-20,21:00:00,214295
09-20,22:00:00,197901
09-20,23:00:00,180925
09-21,00:00:00,168841
09-21,01:00:00,179033
09-21,02:00:00,191750
09-21,03:00:00,192134
09-21,04:00:00,187888
09-21,05:00:00,181652
09-21,06:00:00,174494
09-21,07:00:00,175353
09-21,08:00:00,183944
09-21,09:00:00,188675
09-21,10:00:00,193068
09-21,11:00:00,210038
09-21,12:00:00,230192
09-21,13:00:00,254913
09-21,14:00:00,265603
09-21,15:00:00,265200
09-21,16:00:00,249715
09-21,17:00:00,233502
09-21,18:00:00,228020
09-21,19:00:00,225953
09-21,20:00:00,217776
09-21,21:00:00,202589
09-21,22:00:00,182297
09-21,23:00:00,165012
09-22,00:00:00,155169
09-22,01:00:00,148972
09-22,02:00:00,144611
09-22,03:00:00,136551
09-22,04:00:00,122272
09-22,05:00:00,114131
09-22,06:00:00,94455
09-22,07:00:00,87319
09-22,08:00:00,95202
09-22,09:00:00,102154
09-22,10:00:00,115677
09-22,11:00:00,137563
09-22,12:00:00,162409
09-22,13:00:00,186661
09-22,14:00:00,197329
09-22,15:00:00,196765
09-22,16:00:00,182775
09-22,17:00:00,168862
09-22,18:00:00,163156
09-22,19:00:00,161033
09-22,20:00:00,157045
09-22,21:00:00,147590
09-22,22:00:00,137433
09-22,23:00:00,130912
09-23,00:00:00,134871
09-23,01:00:00,136923
09-23,02:00:00,136555
09-23,03:00:00,131955
09-23,04:00:00,119650
09-23,05:00:00,112829
09-23,06:00:00,95950
09-23,07:00:00,90829
09-23,08:00:00,98278
09-23,09:00:00,104293
09-23,10:00:00,116360
09-23,11:00:00,138529
09-23,12:00:00,161314
09-23,13:00:00,183565
09-23,14:00:00,191602
09-23,15:00:00,190527
09-23,16:00:00,176033
09-23,17:00:00,162596
09-23,18:00:00,156317
09-23,19:00:00,154145
09-23,20:00:00,149095
09-23,21:00:00,139425
09-23,22:00:00,128604
09-23,23:00:00,121966
09-24,00:00:00,126860
09-24,01:00:00,130357
09-24,02:00:00,130636
09-24,03:00:00,126807
09-24,04:00:00,114712
09-24,05:00:00,107450
09-24,06:00:00,92529
09-24,07:00:00,85752
09-24,08:00:00,92128
09-24,09:00:00,96800
09-24,10:00:00,106065
09-24,11:00:00,125526
09-24,12:00:00,146156
09-24,13:00:00,166924
09-24,14:00:00,174941
09-24,15:00:00,174620
09-24,16:00:00,162455
09-24,17:00:00,149543
09-24,18:00:00,144271
09-24,19:00:00,142224
09-24,20:00:00,138627
09-24,21:00:00,129531
09-24,22:00:00,118838
