date,time,players
09-20,01:00:00,21749
09-20,02:00:00,32429
09-20,03:00:00,38442
09-20,04:00:00,49528
09-20,05:00:00,58862
09-20,06:00:00,65769
09-20,07:00:00,69998
09-20,08:00:00,72008
09-20,09:00:00,71691
09-20,10:00:00,70175
09-20,11:00:00,88268
09-20,12:00:00,111323
09-20,13:00:00,124138
09-20,14:00:00,124443
09-20,15:00:00,113041
09-20,16:00:00,80826
09-20,17:00:00,53677
09-20,18:00:00,35392
09-20,19:00:00,24918
09-20,20:00:00,18188
09-20,21:00:00,14462
09-20,22:00:00,11600
09-20,23:00:00,9686
09-21,00:00:00,13459
09-21,01:00:00,22274
09-21,02:00:00,33669
09-21,03:00:00,40999
09-21,04:00:00,53244
09-21,05:00:00,65159
09-21,06:00:00,72819
09-21,07:00:00,77160
09-21,08:00:00,78048
09-21,09:00:00,77205
09-21,10:00:00,70880
09-21,11:00:00,88926
09-21,12:00:00,111481
09-21,13:00:00,121736
09-21,14:00:00,120945
09-21,15:00:00,97684
09-21,16:00:00,59007
09-21,17:00:00,35400
09-21,18:00:00,23093
09-21,19:00:00,16876
09-21,20:00:00,13213
09-21,21:00:00,11149
09-21,22:00:00,9095
09-21,23:00:00,7688
09-22,00:00:00,10744
09-22,01:00:00,15165
09-22,02:00:00,22281
09-22,03:00:00,25897
09-22,04:00:00,37326
09-22,05:00:00,37612
09-22,06:00:00,35167
09-22,07:00:00,39999
09-22,08:00:00,49174
09-22,09:00:00,52151
09-22,10:00:00,61802
09-22,11:00:00,84690
09-22,12:00:00,108970
09-22,13:00:00,122021
09-22,14:00:00,121756
09-22,15:00:00,99379
09-22,16:00:00,59360
09-22,17:00:00,34820
09-22,18:00:00,22726
09-22,19:00:00,16381
09-22,20:00:00,12477
09-22,21:00:00,10369
09-22,22:00:00,8598
09-22,23:00:00,7353
09-23,00:00:00,10689
09-23,01:00:00,15746
09-23,02:00:00,23627
09-23,03:00:00,27322
09-23,04:00:00,40252
09-23,05:00:00,40561
09-23,06:00:00,40126
09-23,07:00:00,45238
09-23,08:00:00,53773
09-23,09:00:00,56036
09-23,10:00:00,65509
09-23,11:00:00,87867
09-23,12:00:00,111919
09-23,13:00:00,124930
09-23,14:00:00,124208
09-23,15:00:00,100357
09-23,16:00:00,60463
09-23,17:00:00,36508
09-23,18:00:00,24066
09-23,19:00:00,17220
09-23,20:00:00,13137
09-23,21:00:00,10755
09-23,22:00:00,8797
09-23,23:00:00,7658
09-24,00:00:00,11336
09-24,01:00:00,16796
09-24,02:00:00,25036
09-24,03:00:00,28742
09-24,04:00:00,41309
09-24,05:00:00,42914
09-24,06:00:00,43593
09-24,07:00:00,48064
09-24,08:00:00,55323
09-24,09:00:00,56373
09-24,10:00:00,61231
09-24,11:00:00,82831
09-24,12:00:00,106409
09-24,13:00:00,119794
09-24,14:00:00,119679
09-24,15:00:00,99183
09-24,16:00:00,59410
09-24,17:00:00,35302
09-24,18:00:00,23490
09-24,19:00:00,16778
09-24,20:00:00,12867
09-24,21:00:00,11693
09-24,22:00:00,9946
09-24,23:00:00,8948
09-25,00:00:00,13485
09-25,01:00:00,19615
09-25,02:00:00,30400
09-25,03:00:00,37434
09-25,04:00:00,65087
09-25,05:00:00,65389
09-25,06:00:00,55371
09-25,07:00:00,55100
09-25,08:00:00,64409
09-25,09:00:00,68513
09-25,10:00:00,77656
09-25,11:00:00,99795
09-25,12:00:00,126105
09-25,13:00:00,141736
09-25,14:00:00,141674
09-25,15:00:00,119052
09-25,16:00:00,73104
09-25,17:00:00,41687
09-25,18:00:00,26428
09-25,19:00:00,18601
09-25,20:00:00,14517
09-25,21:00:00,12069
09-25,22:00:00,9945
09-25,23:00:00,9094
09-26,00:00:00,13750
09-26,01:00:00,20192
09-26,02:00:00,30664
09-26,03:00:00,34662
09-26,04:00:00,52181
09-26,05:00:00,52905
09-26,06:00:00,48307
09-26,07:00:00,51113
09-26,08:00:00,60303
09-26,09:00:00,62382
09-26,10:00:00,71465
09-26,11:00:00,93718
09-26,12:00:00,118842
09-26,13:00:00,133638
09-26,14:00:00,133634
09-26,15:00:00,121066
09-26,16:00:00,84238
09-26,17:00:00,52644
09-26,18:00:00,33954
09-26,19:00:00,23494
09-26,20:00:00,17302
09-26,21:00:00,14051
09-26,22:00:00,11319
09-26,23:00:00,9682
09-27,00:00:00,14820
09-27,01:00:00,24392
09-27,02:00:00,36331
09-27,03:00:00,44097
09-27,04:00:00,56606
09-27,05:00:00,65529
09-27,06:00:00,71208
09-27,07:00:00,74988
09-27,08:00:00,75803
09-27,09:00:00,75461
09-27,10:00:00,70982
09-27,11:00:00,91040
09-27,12:00:00,114591
09-27,13:00:00,128064
09-27,14:00:00,128058
09-27,15:00:00,109760
09-27,16:00:00,71031
09-27,17:00:00,42904
09-27,18:00:00,28433
09-27,19:00:00,20571
09-27,20:00:00,16262
09-27,21:00:00,13910
09-27,22:00:00,11489
09-27,23:00:00,9806
09-28,00:00:00,14445
09-28,01:00:00,21400
09-28,02:00:00,32123
09-28,03:00:00,37081
09-28,04:00:00,53493
09-28,05:00:00,54400
09-28,06:00:00,51891
09-28,07:00:00,55306
09-28,08:00:00,63053
09-28,09:00:00,63438
09-28,10:00:00,69298
09-28,11:00:00,92599
09-28,12:00:00,115931
09-28,13:00:00,128584
09-28,14:00:00,128374
09-28,15:00:00,107950
09-28,16:00:00,66771
09-28,17:00:00,39733
09-28,18:00:00,26091
09-28,19:00:00,18839
09-28,20:00:00,14838
09-28,21:00:00,12633
09-28,22:00:00,10305
09-28,23:00:00,8940
09-29,00:00:00,13120
09-29,01:00:00,19073
09-29,02:00:00,27836
09-29,03:00:00,31484
09-29,04:00:00,45090
09-29,05:00:00,45401
09-29,06:00:00,42135
09-29,07:00:00,45970
09-29,08:00:00,54282
09-29,09:00:00,56499
09-29,10:00:00,64483
09-29,11:00:00,87174
09-29,12:00:00,110454
09-29,13:00:00,124116
09-29,14:00:00,124071
09-29,15:00:00,106538
09-29,16:00:00,67742
09-29,17:00:00,40535
09-29,18:00:00,26250
09-29,19:00:00,18920
09-29,20:00:00,14842
09-29,21:00:00,12932
09-29,22:00:00,10798
09-29,23:00:00,9626
09-30,00:00:00,14200
09-30,01:00:00,20840
09-30,02:00:00,29725
09-30,03:00:00,32131
09-30,04:00:00,45957
09-30,05:00:00,46690
09-30,06:00:00,46273
09-30,07:00:00,49349
09-30,08:00:00,54600
09-30,09:00:00,54963
09-30,10:00:00,61314
09-30,11:00:00,80353
09-30,12:00:00,100096
09-30,13:00:00,111475
09-30,14:00:00,111478
09-30,15:00:00,102268
09-30,16:00:00,76743
09-30,17:00:00,53002
09-30,18:00:00,36149
09-30,19:00:00,25954
09-30,20:00:00,21741
09-30,21:00:00,17812
09-30,22:00:00,14732
09-30,23:00:00,13840
10-01,00:00:00,21015
10-01,01:00:00,32372
10-01,02:00:00,42608
10-01,03:00:00,46586
10-01,04:00:00,54353
10-01,05:00:00,63311
10-01,06:00:00,69418
10-01,07:00:00,70607
10-01,08:00:00,70624
10-01,09:00:00,68702
10-01,10:00:00,65085
10-01,11:00:00,81269
10-01,12:00:00,98241
10-01,13:00:00,105784
10-01,14:00:00,105692
10-01,15:00:00,96367
10-01,16:00:00,73891
10-01,17:00:00,51548
10-01,18:00:00,36470
10-01,19:00:00,26565
10-01,20:00:00,22227
10-01,21:00:00,19118
10-01,22:00:00,15656
10-01,23:00:00,15300
10-02,00:00:00,22681
10-02,01:00:00,34958
10-02,02:00:00,46227
10-02,03:00:00,50383
10-02,04:00:00,58673
10-02,05:00:00,67776
10-02,06:00:00,73088
10-02,07:00:00,74480
10-02,08:00:00,74518
10-02,09:00:00,71946
10-02,10:00:00,67562
10-02,11:00:00,84251
10-02,12:00:00,101415
10-02,13:00:00,108353
10-02,14:00:00,108123
10-02,15:00:00,97881
10-02,16:00:00,75065
10-02,17:00:00,52120
10-02,18:00:00,36641
10-02,19:00:00,26778
10-02,20:00:00,20880
10-02,21:00:00,17452
10-02,22:00:00,14109
10-02,23:00:00,12613
10-03,00:00:00,17978
10-03,01:00:00,27705
10-03,02:00:00,37163
10-03,03:00:00,41073
10-03,04:00:00,48204
10-03,05:00:00,57145
10-03,06:00:00,63766
10-03,07:00:00,66418
10-03,08:00:00,66633
10-03,09:00:00,65135
10-03,10:00:00,62528
10-03,11:00:00,79091
10-03,12:00:00,95310
10-03,13:00:00,102628
10-03,14:00:00,102419
10-03,15:00:00,93081
10-03,16:00:00,71263
10-03,17:00:00,49327
10-03,18:00:00,33460
10-03,19:00:00,24854
10-03,20:00:00,19116
10-03,21:00:00,15607
10-03,22:00:00,12460
10-03,23:00:00,10602
10-04,00:00:00,15413
10-04,01:00:00,23929
10-04,02:00:00,32832
10-04,03:00:00,36806
10-04,04:00:00,45368
10-04,05:00:00,55132
10-04,06:00:00,62427
10-04,07:00:00,65464
10-04,08:00:00,65945
10-04,09:00:00,64524
10-04,10:00:00,60901
10-04,11:00:00,75881
10-04,12:00:00,92453
10-04,13:00:00,100951
10-04,14:00:00,100880
10-04,15:00:00,92825
10-04,16:00:00,71556
10-04,17:00:00,49999
10-04,18:00:00,35321
10-04,19:00:00,25739
10-04,20:00:00,19472
10-04,21:00:00,15654
10-04,22:00:00,12535
10-04,23:00:00,10300
10-05,00:00:00,14043
10-05,01:00:00,22377
10-05,02:00:00,31594
10-05,03:00:00,36181
10-05,04:00:00,44037
10-05,05:00:00,55006
10-05,06:00:00,62472
10-05,07:00:00,66401
10-05,08:00:00,67029
10-05,09:00:00,66297
10-05,10:00:00,61810
10-05,11:00:00,76756
10-05,12:00:00,95245
10-05,13:00:00,102691
10-05,14:00:00,102727
10-05,15:00:00,93770
10-05,16:00:00,72141
10-05,17:00:00,49441
10-05,18:00:00,35082
10-05,19:00:00,25508
10-05,20:00:00,19091
10-05,21:00:00,14980
10-05,22:00:00,12009
