date,time,players
09-20,01:00:00,122684
09-20,02:00:00,166240
09-20,03:00:00,187522
09-20,04:00:00,227847
09-20,05:00:00,294865
09-20,06:00:00,355450
09-20,07:00:00,390905
09-20,08:00:00,394659
09-20,09:00:00,387057
09-20,10:00:00,362418
09-20,11:00:00,465253
09-20,12:00:00,596353
09-20,13:00:00,678298
09-20,14:00:00,682601
09-20,15:00:00,651104
09-20,16:00:00,529688
09-20,17:00:00,406470
09-20,18:00:00,321183
09-20,19:00:00,262272
09-20,20:00:00,218487
09-20,21:00:00,180332
09-20,22:00:00,143762
09-20,23:00:00,110862
09-21,00:00:00,96869
09-21,01:00:00,126556
09-21,02:00:00,176213
09-21,03:00:00,204198
09-21,04:00:00,254796
09-21,05:00:00,337196
09-21,06:00:00,410756
09-21,07:00:00,452376
09-21,08:00:00,455708
09-21,09:00:00,444752
09-21,10:00:00,408834
09-21,11:00:00,519253
09-21,12:00:00,643338
09-21,13:00:00,695017
09-21,14:00:00,691597
09-21,15:00:00,595075
09-21,16:00:00,427201
09-21,17:00:00,313684
09-21,18:00:00,255475
09-21,19:00:00,219204
09-21,20:00:00,185164
09-21,21:00:00,147566
09-21,22:00:00,114521
09-21,23:00:00,88418
09-22,00:00:00,83701
09-22,01:00:00,102933
09-22,02:00:00,132470
09-22,03:00:00,145435
09-22,04:00:00,179788
09-22,05:00:00,210481
09-22,06:00:00,241470
09-22,07:00:00,266341
09-22,08:00:00,276250
09-22,09:00:00,274997
09-22,10:00:00,318609
09-22,11:00:00,451505
09-22,12:00:00,593202
09-22,13:00:00,658033
09-22,14:00:00,656720
09-22,15:00:00,570787
09-22,16:00:00,407457
09-22,17:00:00,298269
09-22,18:00:00,242763
09-22,19:00:00,207603
09-22,20:00:00,173067
09-22,21:00:00,136555
09-22,22:00:00,104641
09-22,23:00:00,81799
09-23,00:00:00,82553
09-23,01:00:00,103966
09-23,02:00:00,134575
09-23,03:00:00,146854
09-23,04:00:00,183423
09-23,05:00:00,219453
09-23,06:00:00,254877
09-23,07:00:00,284747
09-23,08:00:00,295391
09-23,09:00:00,293392
09-23,10:00:00,332315
09-23,11:00:00,470534
09-23,12:00:00,614507
09-23,13:00:00,679870
09-23,14:00:00,678433
09-23,15:00:00,585838
09-23,16:00:00,422583
09-23,17:00:00,311900
09-23,18:00:00,253868
09-23,19:00:00,214537
09-23,20:00:00,178939
09-23,21:00:00,141816
09-23,22:00:00,108644
09-23,23:00:00,83889
09-24,00:00:00,68445
09-24,01:00:00,15296
09-24,02:00:00,17299
09-24,03:00:00,26751
09-24,04:00:00,176972
09-24,05:00:00,244713
09-24,06:00:00,290220
09-24,07:00:00,336442
09-24,08:00:00,350332
09-24,09:00:00,348837
09-24,10:00:00,366591
09-24,11:00:00,506034
09-24,12:00:00,632558
09-24,13:00:00,603225
09-24,14:00:00,628056
09-24,15:00:00,610918
09-24,16:00:00,465558
09-24,17:00:00,347327
09-24,18:00:00,287087
09-24,19:00:00,240511
09-24,20:00:00,198270
09-24,21:00:00,157594
09-24,22:00:00,123990
09-24,23:00:00,97009
09-25,00:00:00,91833
09-25,01:00:00,113447
09-25,02:00:00,145445
09-25,03:00:00,159679
09-25,04:00:00,194846
09-25,05:00:00,227352
09-25,06:00:00,256824
09-25,07:00:00,282982
09-25,08:00:00,292033
09-25,09:00:00,290752
09-25,10:00:00,322862
09-25,11:00:00,451138
09-25,12:00:00,597310
09-25,13:00:00,674060
09-25,14:00:00,674540
09-25,15:00:00,602848
09-25,16:00:00,442377
09-25,17:00:00,323829
09-25,18:00:00,260492
09-25,19:00:00,220959
09-25,20:00:00,184968
09-25,21:00:00,146268
09-25,22:00:00,112373
09-25,23:00:00,88031
09-26,00:00:00,84784
09-26,01:00:00,106894
09-26,02:00:00,139368
09-26,03:00:00,153635
09-26,04:00:00,189992
09-26,05:00:00,223696
09-26,06:00:00,254275
09-26,07:00:00,280404
09-26,08:00:00,288579
09-26,09:00:00,286782
09-26,10:00:00,310776
09-26,11:00:00,432231
09-26,12:00:00,576718
09-26,13:00:00,670885
09-26,14:00:00,676738
09-26,15:00:00,646196
09-26,16:00:00,518876
09-26,17:00:00,394241
09-26,18:00:00,309115
09-26,19:00:00,251558
09-26,20:00:00,210594
09-26,21:00:00,172187
09-26,22:00:00,136735
09-26,23:00:00,105582
09-27,00:00:00,95558
09-27,01:00:00,124661
09-27,02:00:00,170082
