date,time,players
09-20,01:00:00,38077
09-20,02:00:00,39933
09-20,03:00:00,40092
09-20,04:00:00,39594
09-20,05:00:00,39047
09-20,06:00:00,37660
09-20,07:00:00,37957
09-20,08:00:00,38819
09-20,09:00:00,40121
09-20,10:00:00,41898
09-20,11:00:00,45384
09-20,12:00:00,49392
09-20,13:00:00,53268
09-20,14:00:00,55023
09-20,15:00:00,54938
09-20,16:00:00,52555
09-20,17:00:00,49932
09-20,18:00:00,48142
09-20,19:00:00,46357
09-20,20:00:00,44894
09-20,21:00:00,42921
09-20,22:00:00,39939
09-20,23:00:00,37028
09-21,00:00:00,37144
09-21,01:00:00,39102
09-21,02:00:00,41023
09-21,03:00:00,41421
09-21,04:00:00,41199
09-21,05:00:00,40756
09-21,06:00:00,40133
09-21,07:00:00,40244
09-21,08:00:00,41613
09-21,09:00:00,42341
09-21,10:00:00,43970
09-21,11:00:00,47563
09-21,12:00:00,51543
09-21,13:00:00,54447
09-21,14:00:00,54561
09-21,15:00:00,54025
09-21,16:00:00,50850
09-21,17:00:00,48057
09-21,18:00:00,46908
09-21,19:00:00,46008
09-21,20:00:00,43903
09-21,21:00:00,40678
09-21,22:00:00,37188
09-21,23:00:00,34396
09-22,00:00:00,36778
09-22,01:00:00,36938
09-22,02:00:00,36485
09-22,03:00:00,35520
09-22,04:00:00,33694
09-22,05:00:00,33062
09-22,06:00:00,29983
09-22,07:00:00,29213
09-22,08:00:00,30487
09-22,09:00:00,31999
09-22,10:00:00,35358
09-22,11:00:00,40018
09-22,12:00:00,44560
09-22,13:00:00,47855
09-22,14:00:00,48535
09-22,15:00:00,47992
09-22,16:00:00,45367
09-22,17:00:00,42832
09-22,18:00:00,41212
09-22,19:00:00,40110
09-22,20:00:00,38269
09-22,21:00:00,35431
09-22,22:00:00,32727
09-22,23:00:00,31151
09-23,00:00:00,33011
09-23,01:00:00,33916
09-23,02:00:00,33940
09-23,03:00:00,33599
09-23,04:00:00,31975
09-23,05:00:00,31431
09-23,06:00:00,28926
09-23,07:00:00,28931
09-23,08:00:00,29834
09-23,09:00:00,31151
09-23,10:00:00,34325
09-23,11:00:00,38491
09-23,12:00:00,42661
09-23,13:00:00,45774
09-23,14:00:00,46469
09-23,15:00:00,45942
09-23,16:00:00,43987
09-23,17:00:00,41640
09-23,18:00:00,40250
09-23,19:00:00,39134
09-23,20:00:00,37194
09-23,21:00:00,34559
09-23,22:00:00,31945
09-23,23:00:00,29637
09-24,00:00:00,31885
09-24,01:00:00,33130
09-24,02:00:00,33402
09-24,03:00:00,33062
09-24,04:00:00,31765
09-24,05:00:00,31137
09-24,06:00:00,28897
09-24,07:00:00,28438
09-24,08:00:00,29314
09-24,09:00:00,30757
09-24,10:00:00,33232
09-24,11:00:00,37814
09-24,12:00:00,42187
09-24,13:00:00,45653
09-24,14:00:00,46354
09-24,15:00:00,45306
09-24,16:00:00,40547
09-24,17:00:00,38003
09-24,18:00:00,36205
09-24,19:00:00,35170
09-24,20:00:00,33500
09-24,21:00:00,30941
09-24,22:00:00,28316
09-24,23:00:00,26976
09-25,00:00:00,28479
09-25,01:00:00,29111
09-25,02:00:00,29472
09-25,03:00:00,29269
09-25,04:00:00,27559
09-25,05:00:00,26967
09-25,06:00:00,24811
09-25,07:00:00,24287
09-25,08:00:00,25428
09-25,09:00:00,26795
09-25,10:00:00,29580
09-25,11:00:00,33239
09-25,12:00:00,37314
09-25,13:00:00,40301
09-25,14:00:00,41471
09-25,15:00:00,41464
09-25,16:00:00,39167
09-25,17:00:00,37026
09-25,18:00:00,36074
